"","rf:fr_r","rf:fr_p","rf:star_r","rf:star_p","fr:star_r","fr:star_p"
"Mt_rRNA",NA,NA,NA,NA,NA,NA
"Mt_tRNA",0.999998684143624,2.80789684211498e-57,0.870720323066273,1.36586624236616e-07,0.870833741425421,1.35459508512902e-07
"lncRNA",0.997964059484971,0,0.669731360881908,0,0.670381420565209,0
"miRNA",0.99998291764856,0,0.97897990561782,0,0.979007786152564,0
"misc_RNA",0.979551923966178,0.000113582360940961,0.968115977390944,0.000342710891721751,0.998544959753213,1.54989666956054e-07
"other",0.999988888907924,1.0674459140117e-80,0.54082843302833,0.000660354869827594,0.53750140395128,0.000723441352954304
"protein_coding",0.985690838899636,0,0.914572408424472,0,0.968650674009423,0
"pseudo",0.594887770224349,0,0.0601159265227959,2.5056890072139e-14,0.243717720399595,1.14697032205115e-215
"rRNA",0.816118831267113,6.80699749599221e-08,0.491938995215193,0.00671731540892692,0.269119873466056,0.158036194233543
"scRNA",0.946584697169391,0.0534153028306086,0.906520493357321,0.0934795066426791,0.993135395297188,0.00686460470281168
"snRNA",0.951893614232742,6.98595393788011e-77,0.0380075295059418,0.646502174468958,0.133994427766556,0.104456631184016
"snoRNA",0.968294652614961,0,0.960620654689298,0,0.992499862682341,0
"tRNA",0.999866692675997,0,0.994775717939261,0,0.995675579843475,0
