"","rf:fr_r","rf:fr_p","rf:star_r","rf:star_p","fr:star_r","fr:star_p"
"Mt_rRNA",NA,NA,NA,NA,NA,NA
"Mt_tRNA",0.996807644958878,1.95764925049649e-23,0.969862141664019,9.85219204771918e-14,0.952405597718434,8.83963663779997e-12
"lncRNA",0.783126621137794,0,0.538431879344838,0,0.855258401436211,0
"miRNA",0.998310196035213,0,0.907063541412419,0,0.911560614125491,0
"misc_RNA",0.998084897003634,3.07955858368576e-07,0.926255918625833,0.00272518024432271,0.947488051905486,0.00117969875616463
"other",0.999987252217248,1.10373529094882e-79,0.595767864683305,0.000126288201593434,0.595281968250911,0.000128319433242651
"protein_coding",0.987188807913586,0,0.94495555306743,0,0.968305972459073,0
"pseudo",0.565181918056996,0,0.554585012557651,0,0.727121791681839,0
"rRNA",0.97713442438347,1.08899190664331e-19,0.734654059744092,5.68850551419461e-06,0.814812965207602,7.42774102757273e-08
"scRNA",0.985048279351103,0.0149517206488975,0.982253694514061,0.0177463054859391,0.999534422440621,0.000465577559378614
"snRNA",0.801578561924264,1.9957558795554e-34,0.0745239738882443,0.368019869739331,0.241588853424737,0.00309560769456032
"snoRNA",0.992437437171171,0,0.956066092039133,0,0.962214229094808,0
"tRNA",0.999939406995805,0,0.997672918786766,0,0.998101058988249,0
