Gene Name	fr	rf	star
A1BG	1	1	1
A1BG-AS1	0	0	0
A1CF	12	12	12
A2M	240	240	249
A2M-AS1	0	0	0
A2ML1	0	0	0
A2MP1	49	47	307
A3GALT2	11	9	49
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	1
AAAS	26	23	22
AACS	5	5	5
AACSP1	89	88	95
AADAC	2	2	2
AADACL2	0	0	0
AADACL2-AS1	64	64	310
AADACL3	64	63	32
AADACL4	0	0	0
AADACP1	0	0	2
AADAT	0	0	0
AAGAB	50	50	74
AAK1	104	103	65
AAMDC	0	0	0
AAMP	110	110	80
AANAT	1286	1234	1073
AAR2	0	0	0
AARD	1	1	6
AARS1	13	13	16
AARS1P1	0	0	0
AARS2	2	2	15
AARSD1	10	10	5
AARSD1P1	0	0	0
AASDH	67	67	67
AASDHPPT	96	96	108
AASS	0	0	0
AATBC	5	5	5
AATF	42	42	42
AATK	53	53	55
ABALON	0	0	1
ABAT	55	55	59
ABCA1	31	31	84
ABCA10	50	48	40
ABCA11P	0	0	0
ABCA12	12	12	12
ABCA13	9	9	9
ABCA17P	27	27	38
ABCA2	0	0	0
ABCA3	48	48	185
ABCA3P1	0	0	0
ABCA4	1	1	1
ABCA5	20	19	56
ABCA6	26	26	26
ABCA7	21	21	22
ABCA8	2	2	82
ABCA9	0	0	0
ABCA9-AS1	0	0	2
ABCB1	92	99	131
ABCB10	206	204	216
ABCB10P1	1	1	0
ABCB10P3	0	0	0
ABCB10P4	1	1	0
ABCB11	0	0	0
ABCB4	15	15	15
ABCB5	152	152	238
ABCB6	68	56	41
ABCB7	61	65	109
ABCB8	15	15	17
ABCB9	0	0	0
ABCC1	0	0	0
ABCC10	11	11	13
ABCC11	0	0	0
ABCC12	30	30	16
ABCC13	307	307	181
ABCC2	33	33	33
ABCC3	302	300	595
ABCC4	444	444	441
ABCC5	35	35	35
ABCC5-AS1	1	1	0
ABCC6	0	0	0
ABCC6P1	11	11	73
ABCC6P2	0	0	0
ABCC8	39	39	48
ABCC9	2	2	0
ABCD1	6	6	7
ABCD1P1	0	0	2
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	1	1	0
ABCD1P5	2	2	2
