Gene Name	fr	rf	star
A1BG	113	113	128
A1BG-AS1	17	17	17
A1CF	3	3	3
A2M	380	380	392
A2M-AS1	0	0	0
A2ML1	0	0	0
A2MP1	0	0	0
A3GALT2	4	4	0
A4GALT	0	0	0
A4GNT	0	0	0
AA06	1	1	0
AAAS	44	44	3
AACS	4	4	3
AACSP1	53	48	48
AADAC	14	14	14
AADACL2	39	39	24
AADACL2-AS1	89	86	68
AADACL3	1	1	0
AADACL4	0	0	0
AADACP1	0	0	0
AADAT	0	0	0
AAGAB	78	78	78
AAK1	232	230	372
AAMDC	8	8	8
AAMP	28	28	20
AANAT	0	0	5
AAR2	95	95	93
AARD	0	0	1
AARS1	27	27	26
AARS1P1	0	0	0
AARS2	7	7	3
AARSD1	6	5	2
AARSD1P1	0	0	0
AASDH	4	4	2
AASDHPPT	197	197	190
AASS	0	0	0
AATBC	16	16	16
AATF	1	1	150
AATK	11	14	6
ABALON	0	0	0
ABAT	49	49	48
ABCA1	12	13	32
ABCA10	22	21	19
ABCA11P	116	110	117
ABCA12	6	6	6
ABCA13	40	40	39
ABCA17P	57	59	27
ABCA2	0	0	0
ABCA3	10	10	8
ABCA3P1	0	0	0
ABCA4	0	0	0
ABCA5	160	154	130
ABCA6	40	40	49
ABCA7	181	181	187
ABCA8	3	3	3
ABCA9	0	0	0
ABCA9-AS1	19	19	19
ABCB1	206	206	190
ABCB10	366	375	368
ABCB10P1	1	1	0
ABCB10P3	1	1	0
ABCB10P4	4	1	0
ABCB11	0	0	0
ABCB4	13	13	12
ABCB5	95	101	63
ABCB6	29	30	33
ABCB7	147	148	207
ABCB8	2	2	3
ABCB9	0	0	0
ABCC1	0	0	21
ABCC10	0	0	0
ABCC11	2	2	0
ABCC12	38	38	13
ABCC13	72	72	64
ABCC2	0	0	0
ABCC3	18	18	10
ABCC4	385	385	402
ABCC5	26	26	29
ABCC5-AS1	0	0	1
ABCC6	0	0	0
ABCC6P1	0	0	0
ABCC6P2	1	1	0
ABCC8	29	26	27
ABCC9	32	32	32
ABCD1	2	2	3
ABCD1P1	2	2	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	27	18	27
ABCD2	61	61	61
ABCD3	66	66	70
ABCD4	6	6	6
ABCE1	188	163	436
ABCF1	32	32	142
ABCF2	12	12	15
ABCF2-H2BK1	12	12	14
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	37	37	38
ABCG1	14	14	14
ABCG2	133	133	145
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	32	32	28
ABHD1	0	0	0
