"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.897204367860809,1.54641429195997e-08
"lncRNA",0.25086561705566,8.58765687330518e-79
"miRNA",0.978319037575641,0
"misc_RNA",0.999794844415927,1.15774913015413e-09
"other",0.657461326927038,1.32150511172739e-05
"protein_coding",0.880854914123072,0
"pseudo",0.38694557531351,0
"rRNA",0.294038560352067,0.121562491027558
"scRNA",0.524554432199798,0.475445567800202
"snRNA",0.266484014060778,0.00106097644284668
"snoRNA",0.975698406677564,0
"tRNA",0.994987751181006,0
