"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.971679934884837,5.3287035671823e-14
"lncRNA",0.961539259672481,0
"miRNA",0.684791895175296,4.59879874227604e-265
"misc_RNA",0.999766997035928,1.59148753869989e-09
"other",0.935373778847236,6.49030592940405e-17
"protein_coding",0.62214036922695,0
"pseudo",0.843341591518236,0
"rRNA",-0.120014587756118,0.535180561474091
"scRNA",0.523713772342457,0.476286227657543
"snRNA",0.280500454890122,0.000554200415828531
"snoRNA",0.981964538332919,0
"tRNA",0.9986149782137,0
