"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.949586993814142,1.55305866037207e-11
"lncRNA",0.175738029124343,5.89046544899415e-39
"miRNA",0.921179407916967,0
"misc_RNA",0.952993666948012,0.000897056428528653
"other",0.610000709553572,7.82206657288306e-05
"protein_coding",0.395638572158308,0
"pseudo",0.673756229160863,0
"rRNA",0.756379302616897,2.06961006304797e-06
"scRNA",0.682870924156219,0.317129075843781
"snRNA",0.244114633920502,0.00279002682822997
"snoRNA",0.943469444631029,0
"tRNA",0.997537824311832,0
