"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.939826149364154,8.75150782476786e-11
"lncRNA",0.406778877780556,9.63214623825067e-216
"miRNA",0.881234048406688,0
"misc_RNA",0.956225770339709,0.00075203647687989
"other",0.752010797655676,1.24000193563691e-07
"protein_coding",0.360595420480396,0
"pseudo",0.286785074303425,2.06183725451725e-301
"rRNA",0.11270513173982,0.560500666971781
"scRNA",0.713868030953462,0.286131969046537
"snRNA",0.158737717092461,0.0539808752592533
"snoRNA",0.761727486151607,1.3130656334942e-235
"tRNA",0.992406418417957,0
