Gene Name	fr	rf	star
A1BG	3	3	3
A1BG-AS1	0	0	0
A1CF	14	14	15
A2M	129	129	130
A2M-AS1	2	2	0
A2ML1	0	0	0
A2MP1	48	48	194
A3GALT2	3	3	35
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	1	1	3
AACS	9	9	10
AACSP1	8	8	30
AADAC	0	0	1
AADACL2	3	3	0
AADACL2-AS1	37	36	191
AADACL3	49	49	31
AADACL4	0	0	0
AADACP1	0	0	1
AADAT	1	1	1
AAGAB	27	27	40
AAK1	206	206	221
AAMDC	0	0	0
AAMP	34	34	27
AANAT	927	892	645
AAR2	46	46	46
AARD	4	5	5
AARS1	41	41	42
AARS1P1	0	0	0
AARS2	1	1	1
AARSD1	0	0	0
AARSD1P1	0	0	0
AASDH	0	0	0
AASDHPPT	62	62	62
AASS	6	6	6
AATBC	0	0	1
AATF	10	20	48
AATK	7	6	12
ABALON	0	0	0
ABAT	0	0	7
ABCA1	27	29	117
ABCA10	24	24	27
ABCA11P	0	0	0
ABCA12	0	0	0
ABCA13	6	6	6
ABCA17P	23	23	30
ABCA2	6	6	8
ABCA3	28	28	149
ABCA3P1	0	0	0
ABCA4	0	0	0
ABCA5	48	47	81
ABCA6	24	24	24
ABCA7	2	2	15
ABCA8	1	1	41
ABCA9	0	0	0
ABCA9-AS1	0	0	0
ABCB1	128	134	117
ABCB10	205	199	210
ABCB10P1	1	2	0
ABCB10P3	0	2	0
ABCB10P4	0	0	0
ABCB11	0	0	0
ABCB4	4	4	4
ABCB5	77	79	138
ABCB6	17	17	53
ABCB7	40	46	23
ABCB8	1	1	1
ABCB9	0	0	0
ABCC1	0	0	8
ABCC10	13	13	13
ABCC11	0	0	0
ABCC12	26	26	30
ABCC13	117	117	36
ABCC2	0	0	0
ABCC3	169	169	454
ABCC4	84	84	87
ABCC5	35	35	35
ABCC5-AS1	2	2	0
ABCC6	0	0	0
ABCC6P1	9	9	55
ABCC6P2	0	0	0
ABCC8	8	7	26
ABCC9	0	0	0
ABCD1	0	0	0
ABCD1P1	0	0	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	0	0	0
ABCD3	33	33	84
ABCD4	1	1	1
ABCE1	105	37	61
ABCF1	12	11	19
ABCF2	20	20	18
ABCF2-H2BK1	0	0	1
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	5	5	9
ABCG1	0	0	0
ABCG2	64	64	66
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	23	23	4
ABHD1	0	0	0
ABHD10	27	27	28
ABHD11	0	0	0
ABHD11-AS1	0	0	1
ABHD12	0	0	0
ABHD12B	0	0	0
ABHD13	0	0	0
ABHD14A	0	0	0
ABHD14A-ACY1	0	0	0
ABHD14B	0	0	53
ABHD15	1	1	3
