Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
other	CABIN1	SGI75460067	3025	CABIN1	0.127729	CABIN1	0.157617
other	CAPN15	SGI75460067	3172	CAPN15	0.000877	CAPN15	0.002127
other	FAM131B	SGI75460067	7936	FAM131B	0.032881	FAM131B	0.0
other	GABBR1	SGI75460067	9079	GABBR1	0.0	GABBR1	0.0
other	HMBS	SGI75460067	10860	HMBS	0.954201	HMBS	1.208502
other	IGH	SGI75460067	11788	IGH	0.001712	IGH	0.000334
other	IGHV4-30-2	SGI75460067	11925	IGHV4-30-2	0.0	IGHV4-30-2	0.0
other	IGK	SGI75460067	11985	IGK	0.000784	IGK	0.002248
other	IGKDEL	SGI75460067	11987	IGKDEL	0.0	IGKDEL	0.007237
other	IGL	SGI75460067	12087	IGL	0.009042	IGL	0.004223
other	LOC124900482	SGI75460067	18398	LOC124900482	0.0	LOC124900482	0.0
other	LOC124900483	SGI75460067	18399	LOC124900483	0.0	LOC124900483	0.0
other	LOC124900484	SGI75460067	18400	LOC124900484	0.0	LOC124900484	0.0
other	OR2G6	SGI75460067	26058	OR2G6	0.000135	OR2G6	0.0
other	OR51L1	SGI75460067	26292	OR51L1	0.000251	OR51L1	0.001061
other	PCDHA@	SGI75460067	27157	PCDHA@	0.0	PCDHA@	0.0
other	PCDHACT	SGI75460067	27160	PCDHACT	2e-06	PCDHACT	0.0
other	PCDHB@	SGI75460067	27181	PCDHB@	0.000174	PCDHB@	6e-05
other	PCDHG@	SGI75460067	27182	PCDHG@	1e-05	PCDHG@	7.6e-05
other	PTPMT1	SGI75460067	29288	PTPMT1	0.000848	PTPMT1	0.001442
other	RMRP	SGI75460067	30310	RMRP	1801.807861	RMRP	1509.643066
other	RNY5	SGI75460067	33927	RNY5	8985.663086	RNY5	1719.458496
other	RPPH1	SGI75460067	35343	RPPH1	1949.886841	RPPH1	0.0
other	RUVBL1	SGI75460067	36229	RUVBL1	0.334933	RUVBL1	0.418167
other	SEPTIN9	SGI75460067	36807	SEPTIN9	0.284333	SEPTIN9	0.171826
other	SNORD115@	SGI75460067	38315	SNORD115@	1e-05	SNORD115@	9e-06
other	SNORD116@	SGI75460067	38346	SNORD116@	1.6e-05	SNORD116@	0.0
other	TRA	SGI75460067	41236	TRA	0.005181	TRA	0.01259
other	TRAJ15	SGI75460067	41299	TRAJ15	0.0	TRAJ15	0.0
other	TRB	SGI75460067	41446	TRB	0.010932	TRB	0.000725
other	TRBD2	SGI75460067	41450	TRBD2	0.0	TRBD2	0.0
other	TRBV6-3	SGI75460067	41515	TRBV6-3	0.0	TRBV6-3	0.0
other	TRD	SGI75460067	41566	TRD	0.00077	TRD	0.000966
other	TRG	SGI75460067	41657	TRG	0.019881	TRG	0.02943
other	TRGC1	SGI75460067	41692	TRGC1	0.008109	TRGC1	0.00399
other	UGT1A	SGI75460067	42961	UGT1A	0.0	UGT1A	0.003276
