Gene type	Gene Name	fr	rf	star
protein_coding	TRAJ36	0	0	0
protein_coding	TRAJ37	0	0	0
protein_coding	TRAJ38	0	0	0
protein_coding	TRAJ39	0	0	0
protein_coding	TRAJ4	0	0	0
protein_coding	TRAJ40	0	0	0
protein_coding	TRAJ41	0	0	0
protein_coding	TRAJ42	0	0	2
protein_coding	TRAJ43	0	0	0
protein_coding	TRAJ44	0	0	0
protein_coding	TRAJ45	0	0	0
protein_coding	TRAJ46	0	0	0
protein_coding	TRAJ47	0	0	0
protein_coding	TRAJ48	0	0	0
protein_coding	TRAJ49	0	0	0
protein_coding	TRAJ5	0	0	0
protein_coding	TRAJ50	0	0	0
protein_coding	TRAJ52	0	0	0
protein_coding	TRAJ53	0	0	0
protein_coding	TRAJ54	0	0	0
protein_coding	TRAJ56	3	3	3
protein_coding	TRAJ57	0	0	0
protein_coding	TRAJ58	0	0	0
protein_coding	TRAJ59	0	0	0
protein_coding	TRAJ6	0	0	0
protein_coding	TRAJ61	0	0	0
protein_coding	TRAJ7	0	0	0
protein_coding	TRAJ9	0	0	0
protein_coding	TRAK1	168	166	265
protein_coding	TRAK2	13520	13520	13651
protein_coding	TRAM1	531	531	537
protein_coding	TRAM1L1	0	0	0
protein_coding	TRAM2	37	37	42
protein_coding	TRANK1	165	165	182
protein_coding	TRAP1	59	59	59
protein_coding	TRAPPC1	122	122	126
protein_coding	TRAPPC10	45	60	46
protein_coding	TRAPPC11	43	43	43
protein_coding	TRAPPC12	0	0	14
protein_coding	TRAPPC13	116	112	53
protein_coding	TRAPPC14	1	1	3
protein_coding	TRAPPC2	46	56	45
protein_coding	TRAPPC2B	0	0	0
protein_coding	TRAPPC2L	55	55	58
protein_coding	TRAPPC3	67	67	194
protein_coding	TRAPPC3L	73	76	75
protein_coding	TRAPPC4	0	0	11
protein_coding	TRAPPC5	117	117	117
protein_coding	TRAPPC6A	101	101	101
protein_coding	TRAPPC6B	11	11	14
protein_coding	TRAPPC8	145	145	148
protein_coding	TRAPPC9	43	43	44
protein_coding	TRARG1	1	1	0
protein_coding	TRAT1	59	59	79
protein_coding	TRAV10	0	0	0
protein_coding	TRAV1-1	0	0	0
protein_coding	TRAV1-2	0	0	0
protein_coding	TRAV12-1	0	0	0
protein_coding	TRAV12-2	0	0	0
protein_coding	TRAV12-3	0	0	0
protein_coding	TRAV13-1	0	0	0
protein_coding	TRAV13-2	0	0	0
protein_coding	TRAV14DV4	0	0	0
protein_coding	TRAV16	0	0	0
protein_coding	TRAV17	0	0	0
protein_coding	TRAV18	0	0	0
protein_coding	TRAV19	0	0	0
protein_coding	TRAV2	0	0	0
protein_coding	TRAV20	0	0	0
protein_coding	TRAV21	0	0	0
protein_coding	TRAV22	0	0	0
protein_coding	TRAV23DV6	0	0	0
protein_coding	TRAV24	0	0	0
protein_coding	TRAV25	1	1	1
protein_coding	TRAV26-1	0	0	0
protein_coding	TRAV26-2	10	10	11
protein_coding	TRAV27	0	0	0
protein_coding	TRAV29DV5	0	0	0
protein_coding	TRAV3	0	0	0
protein_coding	TRAV30	0	0	0
protein_coding	TRAV34	0	0	0
protein_coding	TRAV36DV7	0	0	0
protein_coding	TRAV38-1	0	0	0
protein_coding	TRAV38-2DV8	0	0	0
protein_coding	TRAV39	0	0	0
protein_coding	TRAV4	2	2	2
protein_coding	TRAV40	0	0	0
protein_coding	TRAV41	0	0	0
protein_coding	TRAV5	0	0	1
protein_coding	TRAV6	0	0	0
protein_coding	TRAV7	0	0	0
protein_coding	TRAV8-1	0	0	0
protein_coding	TRAV8-2	0	0	0
protein_coding	TRAV8-3	0	0	0
protein_coding	TRAV8-4	0	0	0
protein_coding	TRAV8-6	0	0	0
protein_coding	TRAV8-7	0	0	0
protein_coding	TRAV9-1	0	0	0
protein_coding	TRAV9-2	0	0	0
protein_coding	TRBC1	40	48	0
protein_coding	TRBC2	4	5	0
protein_coding	TRBD1	0	0	0
protein_coding	TRBJ1-1	0	0	0
protein_coding	TRBJ1-2	0	0	0
protein_coding	TRBJ1-3	0	0	0
protein_coding	TRBJ1-4	0	0	0
protein_coding	TRBJ1-5	0	0	0
protein_coding	TRBJ1-6	0	0	0
protein_coding	TRBJ2-1	0	0	0
protein_coding	TRBJ2-2	0	0	0
protein_coding	TRBJ2-2P	0	0	0
protein_coding	TRBJ2-3	2	2	0
protein_coding	TRBJ2-4	0	0	0
protein_coding	TRBJ2-5	0	0	0
protein_coding	TRBJ2-6	0	0	0
protein_coding	TRBJ2-7	0	0	0
protein_coding	TRBV10-1	0	0	0
protein_coding	TRBV10-2	0	0	0
protein_coding	TRBV10-3	0	0	0
protein_coding	TRBV11-1	0	0	0
protein_coding	TRBV11-3	0	0	0
protein_coding	TRBV12-3	0	0	0
protein_coding	TRBV12-4	0	0	0
protein_coding	TRBV12-5	0	0	0
protein_coding	TRBV13	0	0	0
protein_coding	TRBV14	0	0	0
protein_coding	TRBV15	0	0	0
protein_coding	TRBV16	0	0	0
protein_coding	TRBV17	0	0	0
protein_coding	TRBV18	0	0	0
protein_coding	TRBV19	8	8	0
protein_coding	TRBV2	0	0	0
protein_coding	TRBV20-1	0	0	0
protein_coding	TRBV20OR9-2	0	0	0
protein_coding	TRBV23-1	0	0	0
protein_coding	TRBV24-1	0	0	0
protein_coding	TRBV25-1	0	0	0
protein_coding	TRBV27	0	0	0
protein_coding	TRBV28	0	0	0
protein_coding	TRBV29-1	2	2	0
protein_coding	TRBV30	0	0	0
protein_coding	TRBV3-1	0	0	0
protein_coding	TRBV4-1	0	0	0
protein_coding	TRBV4-2	0	0	0
protein_coding	TRBV5-1	0	0	0
protein_coding	TRBV5-3	0	0	0
protein_coding	TRBV5-4	0	0	0
protein_coding	TRBV5-5	0	0	0
protein_coding	TRBV5-6	0	0	0
protein_coding	TRBV5-7	0	0	0
protein_coding	TRBV6-1	0	0	0
protein_coding	TRBV6-4	0	0	0
protein_coding	TRBV6-5	3	3	0
protein_coding	TRBV6-6	6	6	0
protein_coding	TRBV6-7	0	0	0
protein_coding	TRBV6-8	0	0	0
protein_coding	TRBV7-1	0	0	0
protein_coding	TRBV7-2	0	0	0
protein_coding	TRBV7-3	0	0	4
protein_coding	TRBV7-4	0	0	0
protein_coding	TRBV7-6	0	0	0
protein_coding	TRBV7-7	0	0	0
protein_coding	TRBV7-9	0	0	0
protein_coding	TRBV9	0	0	0
protein_coding	TRDC	175	176	149
protein_coding	TRDD1	0	0	0
protein_coding	TRDD2	0	0	0
protein_coding	TRDD3	0	0	0
protein_coding	TRDJ1	0	0	0
protein_coding	TRDJ2	0	0	0
protein_coding	TRDJ3	0	0	0
protein_coding	TRDJ4	0	0	0
protein_coding	TRDMT1	117	117	381
protein_coding	TRDN	110	105	54
protein_coding	TRDV1	0	0	0
protein_coding	TRDV2	4	4	4
protein_coding	TRDV3	0	0	0
protein_coding	TREH	1	1	1
protein_coding	TREM1	13	13	15
protein_coding	TREM2	0	0	0
protein_coding	TREML1	104	104	106
protein_coding	TREML2	8	8	14
protein_coding	TREML4	1	1	3
protein_coding	TRERF1	57	56	79
protein_coding	TREX1	33	33	34
protein_coding	TREX2	0	0	0
protein_coding	TRGC2	6	5	11
protein_coding	TRGJ1	0	0	0
protein_coding	TRGJ2	0	0	0
protein_coding	TRGJP	0	0	0
protein_coding	TRGJP1	0	0	0
protein_coding	TRGJP2	0	0	0
protein_coding	TRGV1	0	0	0
protein_coding	TRGV10	0	0	0
protein_coding	TRGV11	0	0	0
protein_coding	TRGV2	0	0	0
protein_coding	TRGV3	0	0	0
protein_coding	TRGV4	0	0	0
protein_coding	TRGV5	8	8	8
protein_coding	TRGV8	0	0	0
protein_coding	TRGV9	4	4	3
protein_coding	TRH	3	3	3
protein_coding	TRHDE	0	0	4
protein_coding	TRHR	2	2	4
protein_coding	TRIAP1	56	56	56
protein_coding	TRIB1	58	58	63
protein_coding	TRIB2	48	48	49
protein_coding	TRIB3	2	2	49
protein_coding	TRIL	0	0	0
protein_coding	TRIM10	0	0	112
protein_coding	TRIM11	115	115	117
protein_coding	TRIM13	509	505	224
protein_coding	TRIM14	77	66	79
protein_coding	TRIM15	0	0	0
protein_coding	TRIM16	17	20	28
protein_coding	TRIM17	1	1	1
protein_coding	TRIM2	45	45	47
protein_coding	TRIM21	223	223	287
protein_coding	TRIM22	72	71	69
protein_coding	TRIM23	336	336	316
protein_coding	TRIM24	58	58	59
protein_coding	TRIM25	107	107	101
protein_coding	TRIM26	1	1	0
protein_coding	TRIM27	7	7	0
protein_coding	TRIM28	53	53	26
protein_coding	TRIM29	0	0	0
protein_coding	TRIM3	0	0	0
protein_coding	TRIM31	0	0	0
protein_coding	TRIM32	12	12	31
protein_coding	TRIM33	161	162	944
protein_coding	TRIM34	37	38	2
protein_coding	TRIM35	32	32	32
protein_coding	TRIM36	0	0	0
protein_coding	TRIM37	70	70	89
protein_coding	TRIM38	307	306	315
protein_coding	TRIM39	0	0	0
protein_coding	TRIM39-RPP21	5	5	1
protein_coding	TRIM4	46	46	54
protein_coding	TRIM40	0	0	0
protein_coding	TRIM41	11	11	11
protein_coding	TRIM42	0	0	0
protein_coding	TRIM43	0	1	0
protein_coding	TRIM43B	0	0	0
protein_coding	TRIM44	364	364	305
protein_coding	TRIM45	0	0	0
protein_coding	TRIM46	2	2	4
protein_coding	TRIM47	0	0	0
protein_coding	TRIM48	3	3	8
protein_coding	TRIM49	0	0	0
protein_coding	TRIM49B	0	1	2
protein_coding	TRIM49C	7	6	7
protein_coding	TRIM49D1	34	12	0
protein_coding	TRIM49D2	31	33	0
protein_coding	TRIM5	83	83	104
protein_coding	TRIM50	0	0	0
protein_coding	TRIM51	0	0	0
protein_coding	TRIM51G	0	0	0
protein_coding	TRIM52	48	48	48
protein_coding	TRIM54	0	0	0
protein_coding	TRIM55	0	0	0
protein_coding	TRIM56	311	311	586
protein_coding	TRIM58	7416	7397	7548
protein_coding	TRIM59	113	113	2
protein_coding	TRIM6	0	0	8
protein_coding	TRIM60	0	0	0
protein_coding	TRIM61	36	36	36
protein_coding	TRIM62	25	25	31
protein_coding	TRIM63	1	1	0
protein_coding	TRIM64	292	292	950
protein_coding	TRIM64B	0	0	0
protein_coding	TRIM64C	1	1	0
protein_coding	TRIM65	10	10	9
protein_coding	TRIM66	0	0	1
protein_coding	TRIM67	1	1	3
protein_coding	TRIM68	6	6	6
protein_coding	TRIM69	32	31	24
protein_coding	TRIM6-TRIM34	0	0	8
protein_coding	TRIM7	6	6	6
protein_coding	TRIM71	49	47	2
protein_coding	TRIM72	2	2	7
protein_coding	TRIM73	3	2	0
protein_coding	TRIM74	0	0	0
protein_coding	TRIM75	0	0	1
protein_coding	TRIM77	11	11	11
protein_coding	TRIM8	61	61	63
protein_coding	TRIM9	0	0	0
protein_coding	TRIML1	0	0	0
protein_coding	TRIML2	0	0	0
protein_coding	TRIO	75	75	85
protein_coding	TRIOBP	73	73	561
protein_coding	TRIP10	5	5	6
protein_coding	TRIP11	149	149	158
protein_coding	TRIP12	1099	1099	1147
protein_coding	TRIP13	0	0	0
protein_coding	TRIP4	272	274	497
protein_coding	TRIP6	7	7	6
protein_coding	TRIQK	59	59	84
protein_coding	TRIR	279	279	292
protein_coding	TRIT1	35	35	35
protein_coding	TRMO	24	24	24
protein_coding	TRMT1	1	1	5
protein_coding	TRMT10A	39	39	34
protein_coding	TRMT10B	19	19	16
protein_coding	TRMT10C	62	62	62
protein_coding	TRMT11	0	0	0
protein_coding	TRMT112	256	246	262
protein_coding	TRMT12	3	3	3
protein_coding	TRMT13	29	29	31
protein_coding	TRMT1L	156	156	157
protein_coding	TRMT2A	6	6	710
protein_coding	TRMT2B	0	0	1
protein_coding	TRMT44	0	0	0
protein_coding	TRMT5	4	4	4
protein_coding	TRMT6	15	15	14
protein_coding	TRMT61A	0	0	1
protein_coding	TRMT61B	0	0	0
protein_coding	TRMT9B	58	58	2
protein_coding	TRMU	0	0	0
protein_coding	TRNAU1AP	27	26	20
protein_coding	TRNP1	0	0	0
protein_coding	TRNT1	23	23	11
protein_coding	TRO	0	0	1
protein_coding	TROAP	2	2	2
protein_coding	TRPA1	0	0	0
protein_coding	TRPC1	0	0	0
protein_coding	TRPC3	71	70	82
protein_coding	TRPC4	0	0	0
protein_coding	TRPC4AP	4	4	6
protein_coding	TRPC5	5	5	4
protein_coding	TRPC5OS	6	7	5
protein_coding	TRPC6	2	2	3
protein_coding	TRPC7	89	89	521
protein_coding	TRPM1	31	31	291
protein_coding	TRPM2	6	6	8
protein_coding	TRPM3	591	588	4222
protein_coding	TRPM4	35	35	35
protein_coding	TRPM5	0	0	0
protein_coding	TRPM6	64	64	308
protein_coding	TRPM7	184	184	183
