Gene Name	fr	rf	star
ACTBL2	0	0	0
ACTBP1	0	0	2
ACTBP10	1	1	0
ACTBP11	0	0	1
ACTBP12	0	0	0
ACTBP14	0	0	0
ACTBP15	0	0	0
ACTBP2	4	6	8
ACTBP3	0	0	0
ACTBP4	1	1	1
ACTBP6	0	0	0
ACTBP7	0	0	0
ACTBP8	1	1	0
ACTBP9	0	0	2
ACTC1	0	0	2
ACTE1P	1	1	0
ACTG1	865	858	300
ACTG1P1	1	1	0
ACTG1P10	0	0	24
ACTG1P11	0	0	0
ACTG1P12	0	0	0
ACTG1P13	0	0	0
ACTG1P14	0	0	0
ACTG1P15	0	0	0
ACTG1P16	0	0	0
ACTG1P17	0	0	0
ACTG1P18	0	0	0
ACTG1P19	0	0	0
ACTG1P2	0	1	0
ACTG1P20	0	0	0
ACTG1P21	0	0	0
ACTG1P22	0	0	0
ACTG1P23	3	0	1
ACTG1P24	1	1	0
ACTG1P25	0	0	0
ACTG1P3	0	0	0
ACTG1P4	1	1	0
ACTG1P9	0	0	0
ACTG2	1	1	2
ACTL10	0	0	0
ACTL11P	0	0	0
ACTL6A	17	17	14
ACTL6B	0	0	0
ACTL7A	0	0	0
ACTL7B	0	0	0
ACTL8	0	0	0
ACTL9	0	0	3
ACTN1	109	109	112
ACTN1-DT	1	1	1
ACTN2	1	1	1
ACTN3	1	1	1
ACTN4	0	0	67
ACTN4P1	0	0	0
ACTP1	0	0	0
ACTR10	35	35	36
ACTR1A	28	28	29
ACTR1AP1	0	0	0
ACTR1B	0	0	14
ACTR2	131	131	994
ACTR3	778	778	777
ACTR3-AS1	8	9	8
ACTR3B	20	20	27
ACTR3BP1	0	0	0
ACTR3BP2	0	0	0
ACTR3BP3	0	0	0
ACTR3BP4	0	0	0
ACTR3BP5	0	0	0
ACTR3BP6	0	0	0
ACTR3BP7	0	0	0
ACTR3C	5	7	0
ACTR3P1	0	0	6
ACTR3P2	2	2	0
ACTR3P3	0	0	0
ACTR5	41	41	46
ACTR6	9	9	8
ACTR6P1	0	0	0
ACTR8	29	29	38
ACTRT1	0	0	0
ACTRT1P1	0	0	0
ACTRT2	0	0	0
ACTRT3	0	0	1
ACVR1	35	36	23
ACVR1B	0	0	1
ACVR1C	3	3	3
ACVR2A	98	98	41
ACVR2B	116	199	415
ACVR2B-AS1	0	0	0
ACVRL1	0	0	0
ACY1	1	1	0
ACY3	3	3	0
ACYP1	14	14	14
ACYP2	127	140	136
ADA	29	29	36
ADA2	43	43	44
ADAD1	0	0	0
ADAD1P1	0	0	0
ADAD1P2	0	0	0
ADAD2	0	0	0
ADAL	7	7	8
ADAM10	80	80	85
ADAM11	1	1	0
ADAM12	0	0	8
ADAM15	0	0	0
ADAM17	37	37	37
ADAM18	32	14	24
ADAM19	38	38	39
ADAM1A	1	1	1
ADAM1B	0	0	0
ADAM2	0	0	0
ADAM20	0	0	0
ADAM20P1	1	1	1
ADAM20P2	0	0	0
ADAM20P3	0	0	0
ADAM21	0	0	0
ADAM21P1	0	0	0
ADAM22	42	42	42
ADAM23	0	0	0
ADAM24P	0	0	1
ADAM28	21	21	22
ADAM29	0	0	0
