"","RFfr:star_r","RFfr:star_p"
"SGI75460067",0.742041346678978,0
"SGI75460068",0.952780808654942,0
"SGI75460075",0.947700590428231,0
"SGI75460076",0.92952751431748,0
"SGI75460103",0.967690861407226,0
"SGI75460104",0.958149306532576,0
"SGI75460105",0.978788406397421,0
