"","RFfr:star_r","RFfr:star_p"
"SGI75460067",0.754312121583135,0
"SGI75460068",0.756984797598824,0
"SGI75460075",0.714366895452462,0
"SGI75460076",0.711723421369828,0
"SGI75460103",0.844740949060509,0
"SGI75460104",0.714347040724573,0
"SGI75460105",0.808644476081458,0
