,Gene Name,SGI75460067_x,SGI75460067_y,SGI75460068,SGI75460075,SGI75460076,SGI75460103,SGI75460104
77,ABCC5,0.003195,0.003195,0.003195,0.003195,0.003195,0.003195,0.003195
78,ABCC5-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,ABCC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,ABCC6P1,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148,0.000148
81,ABCC6P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,ABCC8,0.002324,0.002324,0.002324,0.002324,0.002324,0.002324,0.002324
83,ABCC9,0.033146,0.033146,0.033146,0.033146,0.033146,0.033146,0.033146
84,ABCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,ABCD1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,ABCD1P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,ABCD1P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,ABCD2,0.024909,0.024909,0.024909,0.024909,0.024909,0.024909,0.024909
91,ABCD3,0.1576,0.1576,0.1576,0.1576,0.1576,0.1576,0.1576
92,ABCD4,0.190007,0.190007,0.190007,0.190007,0.190007,0.190007,0.190007
93,ABCE1,0.0283539999999999,0.0283539999999999,0.0283539999999999,0.0283539999999999,0.0283539999999999,0.0283539999999999,0.0283539999999999
94,ABCF1,0.008215,0.008215,0.008215,0.008215,0.008215,0.008215,0.008215
95,ABCF2,0.001872,0.001872,0.001872,0.001872,0.001872,0.001872,0.001872
96,ABCF2-H2BK1,0.001381,0.001381,0.001381,0.001381,0.001381,0.001381,0.001381
97,ABCF2P1,0.004442,0.004442,0.004442,0.004442,0.004442,0.004442,0.004442
98,ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,ABCF3,0.163768,0.163768,0.163768,0.163768,0.163768,0.163768,0.163768
100,ABCG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,ABCG2,0.085193,0.085193,0.085193,0.085193,0.085193,0.085193,0.085193
102,ABCG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,ABCG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,ABCG8,0.008885,0.008885,0.008885,0.008885,0.008885,0.008885,0.008885
105,ABHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,ABHD10,0.021049,0.021049,0.021049,0.021049,0.021049,0.021049,0.021049
107,ABHD11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,ABHD11-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,ABHD12,0.19031,0.19031,0.19031,0.19031,0.19031,0.19031,0.19031
110,ABHD12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,ABHD13,0.063928,0.063928,0.063928,0.063928,0.063928,0.063928,0.063928
112,ABHD14A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,ABHD14A-ACY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,ABHD14B,0.065381,0.065381,0.065381,0.065381,0.065381,0.065381,0.065381
115,ABHD15,0.005726,0.005726,0.005726,0.005726,0.005726,0.005726,0.005726
116,ABHD16A,0.001407,0.001407,0.001407,0.001407,0.001407,0.001407,0.001407
117,ABHD16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,ABHD17A,0.280007,0.280007,0.280007,0.280007,0.280007,0.280007,0.280007
119,ABHD17AP1,0.010137,0.010137,0.010137,0.010137,0.010137,0.010137,0.010137
120,ABHD17AP3,0.009767,0.009767,0.009767,0.009767,0.009767,0.009767,0.009767
121,ABHD17AP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,ABHD17AP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,ABHD17AP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,ABHD17AP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,ABHD17AP8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,ABHD17AP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,ABHD17B,0.147568,0.147568,0.147568,0.147568,0.147568,0.147568,0.147568
128,ABHD17C,0.001162,0.001162,0.001162,0.001162,0.001162,0.001162,0.001162
129,ABHD18,0.00483,0.00483,0.00483,0.00483,0.00483,0.00483,0.00483
