Gene Name	fr	rf	star
A1BG	10	10	12
A1BG-AS1	11	11	12
A1CF	3	3	2
A2M	83	83	91
A2M-AS1	6	6	6
A2ML1	0	0	0
A2MP1	4	4	3
A3GALT2	6	6	8
A4GALT	0	0	0
A4GNT	0	0	0
AA06	0	0	0
AAAS	14	13	7
AACS	26	26	26
AACSP1	1	1	0
AADAC	0	0	0
AADACL2	2	2	0
AADACL2-AS1	3	3	9
AADACL3	0	0	0
AADACL4	0	0	0
AADACP1	5	5	5
AADAT	0	0	0
AAGAB	85	85	75
AAK1	575	575	544
AAMDC	9	9	9
AAMP	60	60	63
AANAT	24	22	23
AAR2	42	42	41
AARD	0	0	0
AARS1	76	76	79
AARS1P1	0	0	0
AARS2	10	10	8
AARSD1	2	2	4
AARSD1P1	0	0	0
AASDH	34	34	38
AASDHPPT	163	163	162
AASS	0	0	1
AATBC	8	8	8
AATF	24	24	53
AATK	179	179	193
ABALON	0	0	0
ABAT	61	61	62
ABCA1	50	50	46
ABCA10	22	22	20
ABCA11P	16	16	11
ABCA12	0	0	0
ABCA13	21	21	22
ABCA17P	11	11	19
ABCA2	21	21	24
ABCA3	41	41	50
ABCA3P1	1	1	0
ABCA4	0	0	0
ABCA5	91	99	76
ABCA6	3	3	6
ABCA7	162	162	185
ABCA8	0	0	1
ABCA9	0	0	0
ABCA9-AS1	0	0	1
ABCB1	32	33	71
ABCB10	278	287	323
ABCB10P1	2	2	0
ABCB10P3	2	4	0
ABCB10P4	4	1	0
ABCB11	0	0	0
ABCB4	22	22	23
ABCB5	5	6	9
ABCB6	14	14	6
ABCB7	141	136	135
ABCB8	41	41	10
ABCB9	0	0	0
ABCC1	40	40	105
ABCC10	38	38	40
ABCC11	0	0	0
ABCC12	4	4	2
ABCC13	55	55	58
ABCC2	3	3	3
ABCC3	186	187	212
ABCC4	755	755	755
ABCC5	44	44	44
ABCC5-AS1	0	0	0
ABCC6	0	0	0
ABCC6P1	0	0	2
ABCC6P2	0	0	0
ABCC8	4	4	3
ABCC9	0	0	0
ABCD1	0	0	0
ABCD1P1	0	0	0
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	64	64	67
ABCD3	45	45	46
ABCD4	15	15	16
ABCE1	236	223	292
ABCF1	11	11	68
ABCF2	59	59	63
ABCF2-H2BK1	7	7	7
ABCF2P1	0	0	3
ABCF2P2	0	0	0
ABCF3	40	40	44
ABCG1	6	6	6
ABCG2	45	45	49
ABCG4	0	0	0
ABCG5	0	0	0
ABCG8	1	1	1
ABHD1	0	0	0
ABHD10	101	101	104
ABHD11	6	6	6
ABHD11-AS1	0	0	0
ABHD12	16	16	16
ABHD12B	0	0	0
ABHD13	30	30	31
ABHD14A	0	0	4
ABHD14A-ACY1	0	0	1
ABHD14B	129	129	142
ABHD15	49	49	50
ABHD16A	11	11	26
ABHD16B	0	0	0
ABHD17A	90	79	84
ABHD17AP1	25	14	0
ABHD17AP3	0	13	0
ABHD17AP4	12	11	2
ABHD17AP5	2	2	0
ABHD17AP6	33	41	19
ABHD17AP7	0	0	0
ABHD17AP8	0	0	0
ABHD17AP9	0	0	0
ABHD17B	100	100	101
ABHD17C	15	15	24
ABHD18	240	238	277
ABHD2	326	326	353
ABHD3	42	42	42
ABHD4	79	79	83
ABHD5	181	181	186
ABHD6	23	23	24
ABHD8	33	33	34
ABI1	725	726	711
ABI1P1	0	0	0
ABI2	136	136	141
ABI3	125	125	132
ABI3BP	0	0	0
ABITRAM	36	36	37
ABITRAMP1	0	0	0
ABL1	203	202	313
ABL2	57	57	59
ABLIM1	770	770	811
ABLIM2	0	0	0
ABLIM3	508	509	522
ABO	172	167	94
ABR	44	30	58
ABRA	3	3	3
ABRACL	228	228	233
ABRAXAS1	108	106	124
ABRAXAS2	110	110	111
ABT1	36	22	18
ABT1P1	0	0	0
ABTB1	460	460	480
ABTB2	45	45	51
ACAA1	112	112	118
ACAA2	108	108	159
ACAA2P1	0	0	0
ACACA	26	26	31
ACACB	11	11	12
ACAD10	33	34	36
ACAD11	63	63	60
ACAD8	32	32	33
ACAD9	39	39	41
ACADL	0	0	0
ACADM	82	81	230
