Gene Name	Gene type
TRV-CAC1-6	tRNA
TRV-CAC1-7	tRNA
TRS-GCT4-2	tRNA
TRG-GCC1-3	tRNA
TRG-CCC2-1	tRNA
TRA-TGC3-2	tRNA
TRK-TTT3-3	tRNA
TRD-GTC2-2	tRNA
TRL-CAA1-2	tRNA
TRK-TTT5-1	tRNA
TRD-GTC2-8	tRNA
TRL-TAA3-1	tRNA
TRR-ACG1-3	tRNA
TRK-CTT8-1	tRNA
TRT-CGT4-1	tRNA
TRS-AGA2-4	tRNA
TRS-AGA2-5	tRNA
TRI-AAT1-1	tRNA
TRC-GCA9-1	tRNA
TRF-GAA1-5	tRNA
TRG-GCC1-2	tRNA
TRY-ATA1-1	tRNA
TRF-GAA1-2	tRNA
TRX-CAT1-8	tRNA
TRE-CTC1-4	tRNA
TRG-TCC2-2	tRNA
TRQ-CTG4-2	tRNA
TRF-GAA6-1	tRNA
TRT-TGT5-1	tRNA
TRR-TCG1-1	tRNA
TRI-TAT2-1	tRNA
TRC-GCA15-1	tRNA
TRQ-CTG2-1	tRNA
TRE-CTC1-7	tRNA
TRY-GTA1-1	tRNA
TRL-AAG1-2	tRNA
TRG-GCC4-1	tRNA
TRI-AAT5-4	tRNA
TRP-AGG2-3	tRNA
TRG-CCC3-1	tRNA
TRS-TGA1-1	tRNA
TRA-TGC3-1	tRNA
TRP-TGG3-5	tRNA
TRK-CTT2-5	tRNA
TRV-TAC2-1	tRNA
TRG-GCC1-5	tRNA
TRS-GCT3-1	tRNA
TRP-TGG1-1	tRNA
TRQ-CTG1-1	tRNA
TRL-CAG1-7	tRNA
TRC-GCA17-1	tRNA
TRD-GTC2-3	tRNA
TRL-AAG2-4	tRNA
TRD-GTC2-7	tRNA
TRF-GAA4-1	tRNA
TRK-TTT2-1	tRNA
TRA-AGC2-2	tRNA
TRP-AGG2-8	tRNA
TRX-CAT1-6	tRNA
TRG-CCC1-2	tRNA
TRA-AGC3-1	tRNA
TRT-CGT5-1	tRNA
TRL-CAA2-1	tRNA
TRM-CAT5-1	tRNA
TRC-GCA10-1	tRNA
TRF-GAA1-6	tRNA
TRH-GTG1-3	tRNA
TRA-CGC1-1	tRNA
TRI-AAT5-3	tRNA
TRL-TAA1-1	tRNA
TRG-GCC2-3	tRNA
TRX-CAT1-7	tRNA
TRL-CAG1-3	tRNA
TRQ-CTG1-4	tRNA
TRV-AAC1-1	tRNA
TRT-AGT2-1	tRNA
TRQ-TTG3-1	tRNA
TRN-GTT3-1	tRNA
TRI-TAT1-1	tRNA
TRV-CAC4-1	tRNA
TRL-AAG2-1	tRNA
TRQ-CTG5-1	tRNA
TRS-GCT4-3	tRNA
TRK-TTT7-1	tRNA
TRE-TTC1-2	tRNA
TRH-GTG1-2	tRNA
TRP-TGG3-3	tRNA
TRI-AAT5-2	tRNA
TRY-GTA8-1	tRNA
TRA-TGC4-1	tRNA
TRT-AGT2-2	tRNA
TRV-TAC3-1	tRNA
TRD-GTC2-9	tRNA
TRT-TGT1-1	tRNA
TRX-CAT1-5	tRNA
TRA-AGC1-1	tRNA
TRD-GTC2-10	tRNA
TRI-TAT3-1	tRNA
TRS-AGA1-1	tRNA
TRM-CAT4-2	tRNA
TRC-GCA20-1	tRNA
TRC-GCA13-1	tRNA
TRA-AGC14-1	tRNA
TRC-GCA8-1	tRNA
TRT-CGT3-1	tRNA
TRL-AAG1-1	tRNA
TRV-CAC2-1	tRNA
TRL-CAG1-4	tRNA
TRR-CCG1-1	tRNA
TRG-GCC1-1	tRNA
TRV-CAC6-1	tRNA
TRA-AGC12-1	tRNA
TRL-CAA5-1	tRNA
TRR-TCG3-1	tRNA
TRI-AAT6-1	tRNA
TRV-CAC1-1	tRNA
TRT-AGT4-1	tRNA
TRC-GCA21-1	tRNA
TRC-GCA9-3	tRNA
TRT-TGT2-1	tRNA
TRC-GCA9-4	tRNA
TRG-GCC2-1	tRNA
TRS-AGA2-1	tRNA
TRD-GTC2-11	tRNA
TRE-CTC1-1	tRNA
TRE-CTC1-3	tRNA
TRI-AAT5-5	tRNA
TRP-TGG3-4	tRNA
TRK-TTT9-1	tRNA
TRM-CAT4-1	tRNA
TRI-AAT4-1	tRNA
