Gene Name	Gene type
SETP8	pseudo
TARDBPP4	pseudo
ATP6V1G1P2	pseudo
BET1P1	pseudo
GLRX5P1	pseudo
LOC100128548	pseudo
CDKN2AIPNLP2	pseudo
LOC100128588	pseudo
GAPDHP39	pseudo
FAM136FP	pseudo
HNRNPDLP1	pseudo
NDUFB9P2	pseudo
LOC100128601	pseudo
C1GALT1P2	pseudo
RPS15AP13	pseudo
LOC100128610	pseudo
UBA52P7	pseudo
SLC25A3P2	pseudo
CYB5AP2	pseudo
LOC100128622	pseudo
SRSF1P1	pseudo
PPP1R2P10	pseudo
RGS17P1	pseudo
EEF1A1P26	pseudo
HMGB1P48	pseudo
RPL10AP7	pseudo
LOC100128655	pseudo
CHCHD4P2	pseudo
RPL27P3	pseudo
RPL22P20	pseudo
FYTTD1P1	pseudo
LOC100128673	pseudo
LOC100128674	pseudo
LOC100128676	pseudo
BTBD10P1	pseudo
CCNG2P1	pseudo
SLC16A14P1	pseudo
LOC100128686	pseudo
ELL2P4	pseudo
PABPC1P6	pseudo
HNRNPA1P41	pseudo
AK4P4	pseudo
NIFKP4	pseudo
RPL9P30	pseudo
NDUFB10P1	pseudo
PRELID3BP3	pseudo
LOC100128713	pseudo
LOC100128721	pseudo
CBX1P3	pseudo
APOOP4	pseudo
FCF1P3	pseudo
LRRFIP2P1	pseudo
LOC100128739	pseudo
RPLP1P8	pseudo
RPS7P9	pseudo
HEBP2P1	pseudo
LOC100128762	pseudo
THAP12P6	pseudo
RPL8P2	pseudo
EIF4BP3	pseudo
LOC100128772	pseudo
NEDD8P1	pseudo
LOC100128776	pseudo
KLF8P1	pseudo
SHLD2P2	pseudo
LYPLA2P3	pseudo
LOC100128800	pseudo
DRAXINP1	pseudo
LOC100128803	pseudo
AGGF1P8	pseudo
RPL35AP37	pseudo
ANAPC15P1	pseudo
AK6P2	pseudo
FRG2FP	pseudo
LOC100128833	pseudo
CLK3P2	pseudo
HNRNPA1P36	pseudo
CDC42EP3P1	pseudo
BNIP3P34	pseudo
ZNF725P	pseudo
B3GALNT1P1	pseudo
RPS15AP29	pseudo
LOC100128865	pseudo
RBM22P3	pseudo
RAD1P1	pseudo
RPSAP36	pseudo
NDUFAF4P4	pseudo
NAP1L1P2	pseudo
LOC100128898	pseudo
RPL7L1P9	pseudo
PRDX3P3	pseudo
NPM1P4	pseudo
LOC100128906	pseudo
PCNPP2	pseudo
RPS21P4	pseudo
RPS6P16	pseudo
LOC100128926	pseudo
AMZ2P3	pseudo
SDCBPP1	pseudo
FXYD6P1	pseudo
RPL10AP6	pseudo
LOC100128939	pseudo
YWHAQP3	pseudo
LOC100128948	pseudo
LOC100128958	pseudo
GAPDHP62	pseudo
RPL3P9	pseudo
SRSF3P5	pseudo
RBM17P4	pseudo
KATNBL1P4	pseudo
LOC100128983	pseudo
RPL35AP7	pseudo
NPM1P38	pseudo
MED6P1	pseudo
RSL24D1P9	pseudo
GTF3C6P1	pseudo
RPL3P10	pseudo
APOOP2	pseudo
FMO8P	pseudo
CUL4AP1	pseudo
DCAF13P1	pseudo
LSM6P1	pseudo
ACTR3P2	pseudo
RPL24P5	pseudo
ARF4P4	pseudo
RPLP1P4	pseudo
UBL5P3	pseudo
GLYATL1P1	pseudo
WEE1P1	pseudo
CFAP53P1	pseudo
EIF3KP2	pseudo
PIGFP3	pseudo
CICP20	pseudo
LOC100129052	pseudo
KDM4F	pseudo
RPL7P25	pseudo
NPM1P35	pseudo
THAP12P5	pseudo
LOC100129078	pseudo
TDGF1P7	pseudo
SELENOKP1	pseudo
HIGD1AP1	pseudo
RPS5P4	pseudo
LOC100129096	pseudo
LOC100129099	pseudo
LOC100129100	pseudo
RPL22P4	pseudo
TCF3P1	pseudo
LOC100129108	pseudo
TMEM167AP2	pseudo
ACE3P	pseudo
TVP23BP1	pseudo
LOC100129130	pseudo
TMEM184CP1	pseudo
LOC100129135	pseudo
LOC100129137	pseudo
DNAJB12P1	pseudo
RPL21P37	pseudo
SMUG1P1	pseudo
LOC100129144	pseudo
LOC100129155	pseudo
RBBP6P1	pseudo
NMNAT1P2	pseudo
RSL24D1P2	pseudo
RFESDP1	pseudo
LOC100129168	pseudo
POLR2KP2	pseudo
RPL13P6	pseudo
RPL9P5	pseudo
RPL36AP11	pseudo
LOC100129184	pseudo
MICC	pseudo
MUPP	pseudo
RPS3AP40	pseudo
PRR13P3	pseudo
LOC100129202	pseudo
LOC100129205	pseudo
SOWAHCP4	pseudo
RPS6P22	pseudo
HNRNPCP10	pseudo
HSPA8P20	pseudo
RPL27P7	pseudo
NPM1P21	pseudo
RPS15AP12	pseudo
LOC100129245	pseudo
PDSS1P1	pseudo
FTLP4	pseudo
LOC100129254	pseudo
NMNAT1P5	pseudo
BRD7P5	pseudo
RPL7L1P1	pseudo
LOC100129262	pseudo
LOC100129265	pseudo
TOMM20P4	pseudo
LOC100129274	pseudo
LOC100129276	pseudo
TPMTP3	pseudo
RPS27P14	pseudo
LDHBP3	pseudo
RPS15AP39	pseudo
MORF4L1P5	pseudo
LOC100129293	pseudo
RPL22P24	pseudo
TPMTP4	pseudo
RPS20P32	pseudo
DNAJA1P1	pseudo
RPL31P14	pseudo
VN1R66P	pseudo
SLC25A6P5	pseudo
HMGB3P10	pseudo
SSBP3P1	pseudo
HNRNPA1P64	pseudo
SNRPEP3	pseudo
RAB28P2	pseudo
RPL29P20	pseudo
EIF4BP2	pseudo
TPSP1	pseudo
LOC100129340	pseudo
LOC100129344	pseudo
CDCA4P2	pseudo
AGGF1P4	pseudo
LOC100129352	pseudo
BOD1P2	pseudo
RPL9P29	pseudo
LOC100129358	pseudo
LOC100129367	pseudo
HNRNPH1P2	pseudo
NDUFB9P3	pseudo
RPL18P3	pseudo
RNF14P1	pseudo
RPL23P9	pseudo
RPS29P17	pseudo
LOC100129381	pseudo
THAP12P4	pseudo
LOC100129384	pseudo
LOC100129391	pseudo
RPL12P42	pseudo
LPGAT1P1	pseudo
LYPLA1P1	pseudo
HAUS4P1	pseudo
EEF1GP4	pseudo
LOC100129404	pseudo
RPL31P16	pseudo
RPL18P2	pseudo
LOC100129422	pseudo
