Gene Name	Gene type
TRNC	Mt_tRNA
TRNA	Mt_tRNA
TRND	Mt_tRNA
TRNE	Mt_tRNA
TRNF	Mt_tRNA
TRNG	Mt_tRNA
TRNH	Mt_tRNA
TRNI	Mt_tRNA
TRNK	Mt_tRNA
TRNL1	Mt_tRNA
TRNL2	Mt_tRNA
TRNM	Mt_tRNA
TRNN	Mt_tRNA
TRNP	Mt_tRNA
TRNQ	Mt_tRNA
TRNR	Mt_tRNA
TRNS1	Mt_tRNA
TRNS2	Mt_tRNA
TRNT	Mt_tRNA
TRNV	Mt_tRNA
TRNW	Mt_tRNA
TRNY	Mt_tRNA
