Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
pseudo	LOC124900261	SGI75460104	26861	LOC124900261	0	0.0	LOC124900261	0	0.0
pseudo	LOC124900262	SGI75460104	26860	LOC124900262	0	0.0	LOC124900262	0	0.0
pseudo	LOC124900263	SGI75460104	26859	LOC124900263	0	0.0	LOC124900263	0	0.0
pseudo	LOC124900265	SGI75460104	26857	LOC124900265	1	0.043862063460072	LOC124900265	1	0.0563333596410122
pseudo	LOC124900278	SGI75460104	26849	LOC124900278	0	0.0	LOC124900278	0	0.0
pseudo	LOC124900279	SGI75460104	26848	LOC124900279	0	0.0	LOC124900279	0	0.0
pseudo	LOC124900280	SGI75460104	26847	LOC124900280	0	0.0	LOC124900280	0	0.0
pseudo	LOC124900281	SGI75460104	26846	LOC124900281	0	0.0	LOC124900281	0	0.0
pseudo	LOC124900284	SGI75460104	26843	LOC124900284	0	0.0	LOC124900284	0	0.0
pseudo	LOC124900285	SGI75460104	26842	LOC124900285	1	0.043862063460072	LOC124900285	0	0.0
pseudo	LOC124900292	SGI75460104	26840	LOC124900292	0	0.0	LOC124900292	0	0.0
pseudo	LOC124900299	SGI75460104	26833	LOC124900299	0	0.0	LOC124900299	0	0.0
pseudo	LOC124900307	SGI75460104	26828	LOC124900307	0	0.0	LOC124900307	0	0.0
pseudo	LOC124900312	SGI75460104	26823	LOC124900312	0	0.0	LOC124900312	0	0.0
pseudo	LOC124900316	SGI75460104	26819	LOC124900316	0	0.0	LOC124900316	0	0.0
pseudo	LOC124900321	SGI75460104	26815	LOC124900321	0	0.0	LOC124900321	0	0.0
pseudo	LOC124900326	SGI75460104	26810	LOC124900326	0	0.0	LOC124900326	0	0.0
pseudo	LOC124900331	SGI75460104	26805	LOC124900331	0	0.0	LOC124900331	0	0.0
pseudo	LOC124900340	SGI75460104	26800	LOC124900340	0	0.0	LOC124900340	0	0.0
pseudo	LOC124900342	SGI75460104	26798	LOC124900342	0	0.0	LOC124900342	0	0.0
pseudo	LOC124900348	SGI75460104	26792	LOC124900348	0	0.0	LOC124900348	0	0.0
pseudo	LOC124900352	SGI75460104	26788	LOC124900352	0	0.0	LOC124900352	0	0.0
pseudo	LOC124900360	SGI75460104	26782	LOC124900360	0	0.0	LOC124900360	0	0.0
pseudo	LOC124900361	SGI75460104	26781	LOC124900361	0	0.0	LOC124900361	0	0.0
pseudo	LOC124900375	SGI75460104	26770	LOC124900375	0	0.0	LOC124900375	0	0.0
pseudo	LOC124900376	SGI75460104	26769	LOC124900376	0	0.0	LOC124900376	0	0.0
pseudo	LOC124900380	SGI75460104	26765	LOC124900380	0	0.0	LOC124900380	0	0.0
pseudo	LOC124900381	SGI75460104	26764	LOC124900381	0	0.0	LOC124900381	0	0.0
pseudo	LOC124900394	SGI75460104	26760	LOC124900394	0	0.0	LOC124900394	0	0.0
pseudo	LOC124900397	SGI75460104	26757	LOC124900397	1	0.043862063460072	LOC124900397	2	0.1126667192820245
pseudo	LOC124900401	SGI75460104	26753	LOC124900401	0	0.0	LOC124900401	0	0.0
pseudo	LOC124900402	SGI75460104	26752	LOC124900402	0	0.0	LOC124900402	0	0.0
pseudo	LOC124900408	SGI75460104	26749	LOC124900408	0	0.0	LOC124900408	0	0.0
pseudo	LOC124900427	SGI75460104	26739	LOC124900427	0	0.0	LOC124900427	0	0.0
pseudo	LOC124900431	SGI75460104	26735	LOC124900431	0	0.0	LOC124900431	0	0.0
pseudo	LOC124900432	SGI75460104	26734	LOC124900432	0	0.0	LOC124900432	0	0.0
pseudo	LOC124900436	SGI75460104	26730	LOC124900436	0	0.0	LOC124900436	0	0.0
pseudo	LOC124900442	SGI75460104	26724	LOC124900442	0	0.0	LOC124900442	0	0.0
pseudo	LOC124900443	SGI75460104	26723	LOC124900443	0	0.0	LOC124900443	0	0.0
pseudo	LOC124900445	SGI75460104	26721	LOC124900445	2	0.087724126920144	LOC124900445	0	0.0
pseudo	LOC124900449	SGI75460104	26717	LOC124900449	0	0.0	LOC124900449	0	0.0
pseudo	LOC124900453	SGI75460104	26713	LOC124900453	0	0.0	LOC124900453	0	0.0
pseudo	LOC124900454	SGI75460104	26712	LOC124900454	0	0.0	LOC124900454	0	0.0
pseudo	LOC124900455	SGI75460104	26711	LOC124900455	0	0.0	LOC124900455	0	0.0
pseudo	LOC124900456	SGI75460104	26710	LOC124900456	0	0.0	LOC124900456	0	0.0
pseudo	LOC124900471	SGI75460104	26701	LOC124900471	0	0.0	LOC124900471	0	0.0
pseudo	LOC124900489	SGI75460104	26690	LOC124900489	0	0.0	LOC124900489	0	0.0
pseudo	LOC124900493	SGI75460104	26686	LOC124900493	0	0.0	LOC124900493	0	0.0
pseudo	LOC124900494	SGI75460104	26685	LOC124900494	0	0.0	LOC124900494	0	0.0
pseudo	LOC124900499	SGI75460104	26680	LOC124900499	0	0.0	LOC124900499	0	0.0
pseudo	LOC124900500	SGI75460104	26679	LOC124900500	0	0.0	LOC124900500	0	0.0
pseudo	LOC124900523	SGI75460104	26663	LOC124900523	0	0.0	LOC124900523	0	0.0
pseudo	LOC124900535	SGI75460104	26651	LOC124900535	0	0.0	LOC124900535	0	0.0
pseudo	LOC124900536	SGI75460104	26650	LOC124900536	0	0.0	LOC124900536	0	0.0
pseudo	LOC124900553	SGI75460104	26641	LOC124900553	0	0.0	LOC124900553	0	0.0
pseudo	LOC124900886	SGI75460104	26625	LOC124900886	0	0.0	LOC124900886	0	0.0
pseudo	LOC124900888	SGI75460104	26623	LOC124900888	0	0.0	LOC124900888	0	0.0
pseudo	LOC124900912	SGI75460104	26599	LOC124900912	0	0.0	LOC124900912	0	0.0
pseudo	LOC124900913	SGI75460104	26598	LOC124900913	0	0.0	LOC124900913	0	0.0
pseudo	LOC124900914	SGI75460104	26597	LOC124900914	0	0.0	LOC124900914	0	0.0
pseudo	LOC124900916	SGI75460104	26595	LOC124900916	0	0.0	LOC124900916	2	0.1126667192820245
pseudo	LOC124900917	SGI75460104	26594	LOC124900917	0	0.0	LOC124900917	0	0.0
pseudo	LOC124900918	SGI75460104	26593	LOC124900918	0	0.0	LOC124900918	0	0.0
pseudo	LOC124900919	SGI75460104	26592	LOC124900919	0	0.0	LOC124900919	0	0.0
pseudo	LOC124900920	SGI75460104	26591	LOC124900920	0	0.0	LOC124900920	0	0.0
pseudo	LOC124900921	SGI75460104	26590	LOC124900921	0	0.0	LOC124900921	0	0.0
pseudo	LOC124900923	SGI75460104	26588	LOC124900923	0	0.0	LOC124900923	0	0.0
pseudo	LOC124900924	SGI75460104	26587	LOC124900924	0	0.0	LOC124900924	0	0.0
pseudo	LOC124900925	SGI75460104	26586	LOC124900925	0	0.0	LOC124900925	0	0.0
pseudo	LOC124900926	SGI75460104	26585	LOC124900926	0	0.0	LOC124900926	0	0.0
pseudo	LOC124900927	SGI75460104	26584	LOC124900927	0	0.0	LOC124900927	0	0.0
pseudo	LOC124901188	SGI75460104	26583	LOC124901188	0	0.0	LOC124901188	0	0.0
pseudo	LOC124901189	SGI75460104	26582	LOC124901189	0	0.0	LOC124901189	0	0.0
pseudo	LOC124901193	SGI75460104	26578	LOC124901193	0	0.0	LOC124901193	0	0.0
pseudo	LOC124901194	SGI75460104	26577	LOC124901194	0	0.0	LOC124901194	0	0.0
pseudo	LOC124901214	SGI75460104	26557	LOC124901214	3	0.1315861903802161	LOC124901214	3	0.1690000789230368
pseudo	LOC124901215	SGI75460104	26556	LOC124901215	0	0.0	LOC124901215	0	0.0
pseudo	LOC124901216	SGI75460104	26555	LOC124901216	1	0.043862063460072	LOC124901216	1	0.0563333596410122
pseudo	LOC124901217	SGI75460104	26554	LOC124901217	0	0.0	LOC124901217	0	0.0
pseudo	LOC124901218	SGI75460104	26553	LOC124901218	0	0.0	LOC124901218	0	0.0
pseudo	LOC124901222	SGI75460104	26549	LOC124901222	0	0.0	LOC124901222	0	0.0
pseudo	LOC124901223	SGI75460104	26548	LOC124901223	0	0.0	LOC124901223	0	0.0
pseudo	LOC124901502	SGI75460104	26546	LOC124901502	0	0.0	LOC124901502	0	0.0
pseudo	LOC124901503	SGI75460104	26545	LOC124901503	0	0.0	LOC124901503	0	0.0
