Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
miRNA	MIR3689C	SGI75460104	23408	MIR3689C	0	0.0	MIR3689C	0	0.0
miRNA	MIR3689D1	SGI75460104	23407	MIR3689D1	0	0.0	MIR3689D1	0	0.0
miRNA	MIR3689D2	SGI75460104	23406	MIR3689D2	0	0.0	MIR3689D2	0	0.0
miRNA	MIR3689E	SGI75460104	23405	MIR3689E	0	0.0	MIR3689E	0	0.0
miRNA	MIR3689F	SGI75460104	23404	MIR3689F	0	0.0	MIR3689F	0	0.0
miRNA	MIR369	SGI75460104	23403	MIR369	0	0.0	MIR369	0	0.0
miRNA	MIR3690	SGI75460104	23402	MIR3690	0	0.0	MIR3690	0	0.0
miRNA	MIR3690_1	SGI75460104	23401	MIR3690_1	0	0.0	MIR3690_1	0	0.0
miRNA	MIR3691	SGI75460104	23400	MIR3691	0	0.0	MIR3691	0	0.0
miRNA	MIR3692	SGI75460104	23399	MIR3692	0	0.0	MIR3692	0	0.0
miRNA	MIR370	SGI75460104	23398	MIR370	0	0.0	MIR370	0	0.0
miRNA	MIR3713	SGI75460104	23397	MIR3713	0	0.0	MIR3713	0	0.0
miRNA	MIR3714	SGI75460104	23396	MIR3714	0	0.0	MIR3714	0	0.0
miRNA	MIR371A	SGI75460104	23395	MIR371A	0	0.0	MIR371A	0	0.0
miRNA	MIR371B	SGI75460104	23394	MIR371B	0	0.0	MIR371B	0	0.0
miRNA	MIR372	SGI75460104	23393	MIR372	0	0.0	MIR372	0	0.0
miRNA	MIR373	SGI75460104	23392	MIR373	0	0.0	MIR373	0	0.0
miRNA	MIR374A	SGI75460104	23391	MIR374A	5	0.2193103173003601	MIR374A	3	0.1690000789230368
miRNA	MIR374B	SGI75460104	23390	MIR374B	6	0.2631723807604322	MIR374B	3	0.1690000789230368
miRNA	MIR374C	SGI75460104	23389	MIR374C	0	0.0	MIR374C	0	0.0
miRNA	MIR375	SGI75460104	23388	MIR375	0	0.0	MIR375	0	0.0
miRNA	MIR376A1	SGI75460104	23387	MIR376A1	1	0.043862063460072	MIR376A1	0	0.0
miRNA	MIR376A2	SGI75460104	23386	MIR376A2	1	0.043862063460072	MIR376A2	0	0.0
miRNA	MIR376B	SGI75460104	23385	MIR376B	0	0.0	MIR376B	0	0.0
miRNA	MIR376C	SGI75460104	23384	MIR376C	0	0.0	MIR376C	0	0.0
miRNA	MIR377	SGI75460104	23383	MIR377	1	0.043862063460072	MIR377	0	0.0
