Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
pseudo	ACTG1P24	SGI75460104	291	ACTG1P24	0.0	ACTG1P24	0.0
pseudo	ACTG1P25	SGI75460104	292	ACTG1P25	0.00239	ACTG1P25	0.0
pseudo	ACTG1P3	SGI75460104	293	ACTG1P3	0.0	ACTG1P3	0.0
pseudo	ACTG1P4	SGI75460104	294	ACTG1P4	0.000133	ACTG1P4	0.0
pseudo	ACTG1P9	SGI75460104	295	ACTG1P9	0.0	ACTG1P9	0.0
pseudo	ACTL11P	SGI75460104	298	ACTL11P	0.0	ACTL11P	0.074233
pseudo	ACTN4P1	SGI75460104	310	ACTN4P1	0.0	ACTN4P1	0.0
pseudo	ACTP1	SGI75460104	311	ACTP1	0.0	ACTP1	0.0
pseudo	ACTR1AP1	SGI75460104	314	ACTR1AP1	0.0	ACTR1AP1	0.0
pseudo	ACTR3BP1	SGI75460104	320	ACTR3BP1	0.0	ACTR3BP1	0.0
pseudo	ACTR3BP2	SGI75460104	321	ACTR3BP2	0.0	ACTR3BP2	0.0
pseudo	ACTR3BP3	SGI75460104	322	ACTR3BP3	0.0	ACTR3BP3	0.0
pseudo	ACTR3BP4	SGI75460104	323	ACTR3BP4	0.0	ACTR3BP4	0.0
pseudo	ACTR3BP5	SGI75460104	324	ACTR3BP5	0.0	ACTR3BP5	0.0
pseudo	ACTR3BP6	SGI75460104	325	ACTR3BP6	0.0	ACTR3BP6	0.0
pseudo	ACTR3BP7	SGI75460104	326	ACTR3BP7	0.0	ACTR3BP7	0.0
pseudo	ACTR3P1	SGI75460104	328	ACTR3P1	0.0	ACTR3P1	0.0
pseudo	ACTR3P2	SGI75460104	329	ACTR3P2	0.0	ACTR3P2	0.0
pseudo	ACTR3P3	SGI75460104	330	ACTR3P3	0.0	ACTR3P3	0.0
pseudo	ACTR6P1	SGI75460104	333	ACTR6P1	0.0	ACTR6P1	0.0
pseudo	ACTRT1P1	SGI75460104	336	ACTRT1P1	0.0	ACTRT1P1	0.0
pseudo	ADAD1P1	SGI75460104	353	ADAD1P1	0.0	ADAD1P1	0.0
pseudo	ADAD1P2	SGI75460104	354	ADAD1P2	0.0	ADAD1P2	0.0
pseudo	ADAM1A	SGI75460104	364	ADAM1A	0.003106	ADAM1A	0.00204
