Gene type	Gene Name	fr	rf	star
protein_coding	A1BG	11	11	11
protein_coding	A1CF	0	0	0
protein_coding	A2M	71	71	76
protein_coding	A2ML1	0	0	0
protein_coding	A3GALT2	1	1	5
protein_coding	A4GALT	19	19	19
protein_coding	A4GNT	0	0	0
protein_coding	AAAS	7	6	3
protein_coding	AACS	0	0	0
protein_coding	AADAC	0	0	0
protein_coding	AADACL2	0	0	0
protein_coding	AADACL3	5	5	7
protein_coding	AADACL4	3	3	3
protein_coding	AADAT	0	0	0
protein_coding	AAGAB	24	24	44
protein_coding	AAK1	84	83	102
protein_coding	AAMDC	18	20	21
protein_coding	AAMP	43	43	42
protein_coding	AANAT	174	172	95
protein_coding	AAR2	22	22	22
protein_coding	AARD	1	1	1
protein_coding	AARS1	3	3	0
protein_coding	AARS2	0	0	2
protein_coding	AARSD1	0	0	0
protein_coding	AASDH	12	12	12
protein_coding	AASDHPPT	86	86	87
protein_coding	AASS	0	0	0
protein_coding	AATF	0	0	46
protein_coding	AATK	5	5	12
protein_coding	ABAT	9	9	20
protein_coding	ABCA1	14	14	27
protein_coding	ABCA10	8	8	13
protein_coding	ABCA12	0	0	0
protein_coding	ABCA13	11	11	18
protein_coding	ABCA2	0	0	0
protein_coding	ABCA3	15	14	140
protein_coding	ABCA4	0	0	0
protein_coding	ABCA5	9	8	23
protein_coding	ABCA6	23	23	23
protein_coding	ABCA7	0	0	0
protein_coding	ABCA8	0	0	5
protein_coding	ABCA9	1	1	1
protein_coding	ABCB1	48	53	392
protein_coding	ABCB10	308	324	369
protein_coding	ABCB11	0	0	0
protein_coding	ABCB4	0	0	0
protein_coding	ABCB5	83	83	94
protein_coding	ABCB6	29	29	40
protein_coding	ABCB7	20	20	24
protein_coding	ABCB8	1	1	1
protein_coding	ABCB9	0	0	0
protein_coding	ABCC1	0	0	0
protein_coding	ABCC10	2	2	2
protein_coding	ABCC11	0	0	0
protein_coding	ABCC12	21	21	23
protein_coding	ABCC2	1	1	1
protein_coding	ABCC3	168	168	521
protein_coding	ABCC4	305	305	335
protein_coding	ABCC5	30	30	31
protein_coding	ABCC6	0	0	0
protein_coding	ABCC8	3	3	11
protein_coding	ABCC9	0	0	0
protein_coding	ABCD1	0	0	0
protein_coding	ABCD2	0	0	0
protein_coding	ABCD3	32	32	68
protein_coding	ABCD4	25	25	27
protein_coding	ABCE1	111	58	56
protein_coding	ABCF1	3	3	22
protein_coding	ABCF2	47	47	61
protein_coding	ABCF2-H2BK1	1	1	1
protein_coding	ABCF3	14	14	14
protein_coding	ABCG1	0	0	0
protein_coding	ABCG2	38	38	32
protein_coding	ABCG4	0	0	0
protein_coding	ABCG5	0	0	0
protein_coding	ABCG8	4	4	1
protein_coding	ABHD1	0	0	0
protein_coding	ABHD10	62	62	39
protein_coding	ABHD11	0	0	7
protein_coding	ABHD12	42	42	43
protein_coding	ABHD12B	0	0	0
protein_coding	ABHD13	62	62	62
protein_coding	ABHD14A	0	0	0
protein_coding	ABHD14A-ACY1	0	0	0
protein_coding	ABHD14B	1	1	13
protein_coding	ABHD15	14	14	14
protein_coding	ABHD16A	5	5	0
protein_coding	ABHD16B	0	0	0
protein_coding	ABHD17A	17	10	13
protein_coding	ABHD17B	0	0	3
protein_coding	ABHD17C	65	65	62
protein_coding	ABHD18	39	39	94
protein_coding	ABHD2	95	95	96
protein_coding	ABHD3	11	11	11
protein_coding	ABHD4	44	44	31
protein_coding	ABHD5	190	190	190
protein_coding	ABHD6	0	0	0
protein_coding	ABHD8	10	10	14
protein_coding	ABI1	244	245	225
protein_coding	ABI2	45	45	46
protein_coding	ABI3	89	89	89
protein_coding	ABI3BP	0	0	0
protein_coding	ABITRAM	11	11	11
protein_coding	ABL1	189	189	555
protein_coding	ABL2	20	20	23
protein_coding	ABLIM1	223	223	225
protein_coding	ABLIM2	0	0	0
protein_coding	ABLIM3	74	74	77
protein_coding	ABO	12	12	0
protein_coding	ABR	11	5	12
protein_coding	ABRA	0	0	0
protein_coding	ABRACL	72	72	72
protein_coding	ABRAXAS1	68	68	70
protein_coding	ABRAXAS2	75	75	75
protein_coding	ABT1	34	34	0
protein_coding	ABTB1	151	151	166
protein_coding	ABTB2	19	18	77
protein_coding	ACAA1	0	0	1
protein_coding	ACAA2	64	64	65
protein_coding	ACACA	0	0	0
protein_coding	ACACB	20	20	21
protein_coding	ACAD10	24	24	27
protein_coding	ACAD11	4	4	6
protein_coding	ACAD8	0	0	0
protein_coding	ACAD9	19	19	19
protein_coding	ACADL	0	0	0
protein_coding	ACADM	44	44	13
protein_coding	ACADS	12	13	20
protein_coding	ACADSB	73	73	53
protein_coding	ACADVL	76	76	76
protein_coding	ACAN	0	0	0
protein_coding	ACAP1	0	0	3
protein_coding	ACAP2	305	305	279
protein_coding	ACAP3	0	0	0
protein_coding	ACAT1	173	173	193
protein_coding	ACAT2	44	45	166
protein_coding	ACBD3	160	161	166
protein_coding	ACBD4	0	0	0
protein_coding	ACBD5	49	49	49
protein_coding	ACBD6	8	8	8
protein_coding	ACBD7	4	4	11
protein_coding	ACCS	0	0	0
protein_coding	ACCSL	0	0	0
protein_coding	ACD	21	21	21
