"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.932941455775555,2.51174870890178e-10
"lncRNA",0.397834335287584,1.3357421666956e-205
"miRNA",0.974023043217531,0
"misc_RNA",0.998578696504391,1.4616390688227e-07
"other",0.611554901080663,7.4130315337497e-05
"protein_coding",0.969621309771962,0
"pseudo",0.357916176564561,0
"rRNA",-0.0762171525914975,0.69434891886389
"scRNA",0.661474649891432,0.338525350108568
"snRNA",0.140128516532399,0.0893805513255234
"snoRNA",0.991554631232798,0
"tRNA",0.987344240826269,0
