"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.938007215298425,1.1697659744474e-10
"lncRNA",0.802212489142562,0
"miRNA",0.895024393602222,0
"misc_RNA",0.958268309983413,0.000668097430778418
"other",0.830141710094988,3.82190660053187e-10
"protein_coding",0.989373504075242,0
"pseudo",0.356492865758599,0
"rRNA",-0.104724158016702,0.588755535632039
"scRNA",0.71386799525708,0.28613200474292
"snRNA",0.143670015335169,0.0814995618989619
"snoRNA",0.792580685367106,3.08472392382789e-268
"tRNA",0.988925000718241,0
