"","cpm_RFfr:cpm_star_r","cpm_RFfr:cpm_star_p"
"Mt_rRNA",NA,NA
"Mt_tRNA",0.970995419062601,6.74705013629538e-14
"lncRNA",0.971121059568707,0
"miRNA",0.923721475267366,0
"misc_RNA",0.999814326329076,9.02165987863186e-10
"other",0.952074169932503,4.58375484804154e-19
"protein_coding",0.991910007003185,0
"pseudo",0.899546168732164,0
"rRNA",-0.0718886883293745,0.710947695966345
"scRNA",0.523713604286049,0.476286395713951
"snRNA",0.260878954492841,0.00136258163729946
"snoRNA",0.9812178110277,0
"tRNA",0.997951086139461,0
