Gene Name	fr	rf	star
AKR1B15	3	3	11
AKR1B1P1	0	0	0
AKR1B1P2	0	0	1
AKR1B1P3	0	0	0
AKR1B1P4	1	1	1
AKR1B1P5	0	0	2
AKR1B1P6	0	0	0
AKR1B1P7	0	0	0
AKR1B1P8	0	0	0
AKR1C1	8	16	6
AKR1C2	7	7	0
AKR1C3	125	114	100
AKR1C4	1	1	1
AKR1C6P	1	1	2
AKR1C7P	0	0	8
AKR1C8	0	0	0
AKR1D1	0	0	0
AKR1D1P1	16	16	2623
AKR1E2	0	0	0
AKR7A2	31	31	31
AKR7A2P1	0	0	0
AKR7A2P2	0	0	0
AKR7A3	0	0	0
AKR7L	1	1	1
AKT1	18	18	17
AKT1S1	19	19	19
AKT2	31	31	44
AKT3	71	64	53
AKT3-IT1	0	0	0
AKTIP	10	10	11
ALAD	93	93	104
ALAS1	3	3	3
ALAS2	5115	5117	5254
ALB	199	199	205
ALCAM	53	53	69
ALDH16A1	25	25	27
ALDH18A1	9	9	59
ALDH1A1	5	4	19
ALDH1A2	48	48	197
ALDH1A2-AS1	2	2	10
ALDH1A3	2	2	3
ALDH1A3-AS1	6	6	6
ALDH1B1	0	0	0
ALDH1L1	0	0	0
ALDH1L1-AS1	0	0	0
ALDH1L1-AS2	3	3	8
ALDH1L2	0	0	0
ALDH2	51	51	59
ALDH3A1	0	0	0
ALDH3A2	61	61	68
ALDH3B1	230	230	144
ALDH3B2	0	0	0
ALDH4A1	20	20	90
ALDH5A1	27	27	26
ALDH6A1	10	10	9
ALDH7A1	132	131	630
ALDH7A1P1	1	1	0
ALDH7A1P2	0	0	0
ALDH7A1P3	0	0	0
ALDH7A1P4	0	0	0
ALDH8A1	1	1	0
ALDH9A1	28	28	37
ALDOA	84	84	101
ALDOAP1	0	0	0
ALDOAP2	0	0	0
ALDOB	27	27	19
ALDOC	0	0	0
ALG1	1	1	2
ALG10	0	0	0
ALG10B	4	4	4
ALG11	0	0	0
ALG12	3	3	3
ALG13	29	29	30
ALG14	0	0	0
ALG14-AS1	0	0	3
ALG1L	4	4	21
ALG1L10P	0	0	1
ALG1L11P	0	0	0
ALG1L12P	0	0	0
ALG1L13P	3	4	0
ALG1L15P	0	0	0
ALG1L2	0	0	0
ALG1L3P	0	0	3
ALG1L5P	0	0	0
ALG1L6P	5	5	0
ALG1L7P	17	17	282
ALG1L8P	0	0	1
ALG1L9P	5	5	0
ALG2	0	0	0
ALG3	1	1	2
ALG3P1	0	0	0
ALG5	0	0	0
ALG6	7	7	46
ALG8	0	0	0
ALG9	16	16	16
ALK	0	0	1
ALKAL1	2	2	1
ALKAL2	0	0	0
ALKBH1	16	16	16
ALKBH2	2	2	4
ALKBH3	14	14	17
ALKBH3-AS1	0	0	0
ALKBH4	0	0	0
ALKBH5	118	118	150
ALKBH6	0	0	0
ALKBH7	0	0	0
ALKBH8	47	47	48
ALLC	0	0	0
ALMS1	67	68	24
ALMS1-IT1	1	1	0
ALMS1P1	1	1	0
ALOX12	11	11	12
ALOX12-AS1	24	23	404
ALOX12B	13	13	16
ALOX12P1	3	3	3
ALOX12P2	77	78	364
ALOX15	2	2	4
ALOX15B	4	4	3
ALOX15P1	5	6	3
ALOX15P2	5	5	6
ALOX5	0	0	13
ALOX5AP	18	18	18
ALOXE3	2	2	2
ALOXE3P1	0	0	0
ALPG	0	0	0
ALPI	0	0	0
ALPK1	55	55	63
ALPK2	37	37	49
ALPK3	18	18	19
ALPL	27	27	24
ALPP	0	0	0
ALS2	36	36	38
ALS2CL	23	23	23
ALX1	0	0	8
ALX3	4	4	5
ALX4	17	17	43
ALYREF	0	0	0
AMACR	7	7	21
AMBN	18	18	13
AMBP	6	6	14
AMBRA1	18	18	58
AMD1	239	240	266
AMD1P1	0	0	0
AMD1P2	4	4	0
AMD1P3	1	1	1
AMD1P4	0	0	0
AMDHD1	29	29	17
AMDHD2	3	3	0
AMELX	0	0	0
AMELY	4	4	72
AMER1	14	14	19
AMER2	10	10	11
AMER3	0	0	0
AMFR	161	161	164
AMH	0	0	0
AMHR2	0	0	0
AMIGO1	0	0	0
AMIGO2	14	14	14
AMIGO3	0	0	0
AMMECR1	231	230	280
AMMECR1L	24	24	24
AMMECR1LP1	0	0	0
AMN	2	2	2
AMN1	20	20	24
AMOT	23	23	24
AMOTL1	68	68	69
AMOTL2	2	2	0
AMPD1	11	13	328
AMPD2	15	15	15
AMPD3	51	51	56
AMPH	0	0	0
AMT	9	9	3
AMTN	3	2	3
AMY1A	3	3	0
AMY1B	1	1	0
AMY1C	2	2	4
AMY2A	0	0	0
AMY2B	1	1	7
AMYP1	0	0	0
AMZ1	2	2	2
AMZ2	46	46	47
AMZ2P1	0	0	0
AMZ2P2	0	0	0
AMZ2P3	0	0	0
ANAPC1	35	36	30
ANAPC10	6	6	8
ANAPC10P1	11	10	33
ANAPC11	13	13	17
ANAPC13	73	73	73
ANAPC15	12	12	12
ANAPC15P1	0	0	0
ANAPC15P2	0	0	0
ANAPC16	141	141	149
ANAPC1P1	26	27	11
ANAPC1P2	16	15	14
ANAPC1P3	0	0	0
ANAPC1P4	2	2	0
ANAPC1P5	0	0	0
ANAPC1P6	1	1	0
ANAPC2	0	0	0
ANAPC4	11	11	11
ANAPC5	46	46	150
ANAPC7	51	53	48
ANCV1RP	0	0	0
ANG	0	0	0
ANGEL1	8	8	11
ANGEL2	29	29	30
ANGPT1	6	6	6
ANGPT2	50	50	196
ANGPT4	0	0	0
ANGPTL1	0	0	0
ANGPTL2	1	1	1
ANGPTL3	0	0	1
ANGPTL4	0	0	0
ANGPTL5	0	0	0
ANGPTL6	0	0	0
ANGPTL7	0	0	0
ANGPTL8	0	0	0
ANHX	0	0	0
ANK1	584	583	851
ANK2	158	158	414
ANK3	211	211	564
ANKAR	32	32	32
ANKDD1A	18	18	46
ANKDD1B	0	0	0
ANKEF1	3	3	3
ANKFN1	0	0	0
ANKFY1	19	19	25
ANKH	254	254	265
ANKHD1	14	14	5
ANKHD1-EIF4EBP3	38	38	59
ANKIB1	205	223	131
ANKK1	0	0	0
ANKLE1	10	10	11
ANKLE2	22	22	22
ANKMY1	9	9	9
ANKMY2	13	13	15
ANKRA2	1	1	1
ANKRD1	1	1	2
ANKRD10	14	14	14
ANKRD11	68	68	69
ANKRD11P1	0	0	0
ANKRD11P2	0	0	0
ANKRD12	456	455	432
ANKRD13A	180	180	183
ANKRD13B	0	0	0
ANKRD13C	60	60	61
ANKRD13D	22	22	22
ANKRD16	7	7	13
ANKRD17	249	249	249
ANKRD18A	0	0	0
ANKRD18B	30	30	51
ANKRD18CP	7	6	67
ANKRD18DP	4	4	5
ANKRD18EP	1	1	3
ANKRD19P	0	0	0
ANKRD2	2	2	7
ANKRD20A1	9	10	1
ANKRD20A10P	0	0	0
ANKRD20A11P	5	8	11
ANKRD20A16P	1	1	0
ANKRD20A17P	1	1	0
ANKRD20A18P	0	0	0
ANKRD20A19P	10	10	9
ANKRD20A20P	1	1	0
ANKRD20A4-ANKRD20A20P	51	45	40
ANKRD20A5P	62	58	24
ANKRD20A6P	0	0	0
ANKRD20A7P	12	12	7
ANKRD20A8P	41	43	23
ANKRD20A9P	22	23	2
ANKRD22	6	6	7
ANKRD23	0	0	0
ANKRD24	0	0	0
ANKRD26	55	55	60
ANKRD26P1	3	3	8
ANKRD26P2	1	1	4
ANKRD26P3	0	0	1
ANKRD26P4	0	0	0
ANKRD27	48	48	97
ANKRD28	111	111	127
ANKRD29	38	38	39
ANKRD30A	0	0	0
ANKRD30B	49	48	10
ANKRD30BL	0	0	1
ANKRD30BP1	1	1	0
ANKRD30BP2	5	7	2
ANKRD30BP3	1	1	2
ANKRD31	2	2	2
ANKRD33	0	0	0
ANKRD33B	21	21	21
ANKRD34A	8	8	8
ANKRD34B	0	0	0
ANKRD34C	16	4	6
ANKRD34C-AS1	34	33	45
ANKRD35	1	1	1
ANKRD36	0	0	5
ANKRD36B	0	0	6
ANKRD36BP1	1	1	6
ANKRD36BP2	176	184	170
ANKRD36C	17	17	20
ANKRD36P1	0	0	0
ANKRD37	27	27	31
ANKRD39	14	14	14
ANKRD40	19	19	19
ANKRD40CL	0	0	0
ANKRD42	86	86	221
ANKRD42-DT	3	3	10
ANKRD44	164	164	205
ANKRD44-AS1	0	0	0
ANKRD44-IT1	29	30	103
ANKRD45	7	7	7
ANKRD46	0	0	184
ANKRD49	8	8	14
ANKRD49P1	0	0	0
ANKRD49P2	0	0	0
ANKRD49P3	0	0	1
ANKRD49P4	0	0	0
ANKRD50	26	26	27
ANKRD52	10	10	14
ANKRD53	0	0	0
ANKRD54	0	0	1
ANKRD54P1	0	0	0
ANKRD55	0	0	0
ANKRD6	6	6	6
ANKRD60	0	0	0
ANKRD61	0	0	0
ANKRD62	0	0	0
