		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460105	45088	A1BG	3	0.4573531176161292	A1BG	4	0.5572881799873635
SGI75460105	45087	A1BG-AS1	0	0.0	A1BG-AS1	3	0.4179661349905226
SGI75460105	45086	A1CF	14	2.134314548875269	A1CF	15	2.089830674952613
SGI75460105	45085	A2M	128	19.51373301828818	A2M	93	12.9569501847062
SGI75460105	45084	A2M-AS1	2	0.3049020784107528	A2M-AS1	0	0.0
SGI75460105	45083	A2ML1	0	0.0	A2ML1	0	0.0
SGI75460105	45082	A2MP1	0	0.0	A2MP1	196	27.30712081938081
SGI75460105	45081	A3GALT2	1	0.1524510392053764	A3GALT2	35	4.87627157488943
SGI75460105	45080	A4GALT	0	0.0	A4GALT	0	0.0
SGI75460105	45079	A4GNT	0	0.0	A4GNT	0	0.0
SGI75460105	45078	AA06	1	0.1524510392053764	AA06	0	0.0
SGI75460105	45077	AAAS	2	0.3049020784107528	AAAS	3	0.4179661349905226
SGI75460105	45076	AACS	9	1.3720593528483878	AACS	0	0.0
SGI75460105	45075	AACSP1	3	0.4573531176161292	AACSP1	124	17.27593357960827
SGI75460105	45074	AADAC	0	0.0	AADAC	0	0.0
SGI75460105	45073	AADACL2	3	0.4573531176161292	AADACL2	0	0.0
SGI75460105	45072	AADACL2-AS1	15	2.286765588080646	AADACL2-AS1	336	46.81220711893854
SGI75460105	45071	AADACL3	2	0.3049020784107528	AADACL3	31	4.318983394902068
SGI75460105	45070	AADACL4	0	0.0	AADACL4	0	0.0
SGI75460105	45069	AADACP1	0	0.0	AADACP1	0	0.0
SGI75460105	45068	AADAT	1	0.1524510392053764	AADAT	0	0.0
SGI75460105	45067	AAGAB	24	3.6588249409290334	AAGAB	39	5.433559754876794
SGI75460105	45066	AAK1	194	29.57550160584302	AAK1	701	97.66475354278543
SGI75460105	45065	AAMDC	0	0.0	AAMDC	0	0.0
SGI75460105	45064	AAMP	40	6.098041568215056	AAMP	27	3.761695214914704
SGI75460105	45063	AANAT	4	0.6098041568215056	AANAT	647	90.14136311295604
SGI75460105	45062	AAR2	30	4.573531176161292	AAR2	46	6.408814069854681
SGI75460105	45061	AARD	1	0.1524510392053764	AARD	6	0.8359322699810453
SGI75460105	45060	AARS1	41	6.250492607420432	AARS1	26	3.6223731699178634
SGI75460105	45059	AARS1P1	0	0.0	AARS1P1	0	0.0
SGI75460105	45058	AARS2	0	0.0	AARS2	1	0.1393220449968408
SGI75460105	45057	AARSD1	0	0.0	AARSD1	0	0.0
SGI75460105	45056	AARSD1P1	0	0.0	AARSD1P1	0	0.0
SGI75460105	45055	AASDH	0	0.0	AASDH	0	0.0
SGI75460105	45054	AASDHPPT	61	9.29951339152796	AASDHPPT	71	9.891865194775702
SGI75460105	45053	AASS	6	0.9147062352322584	AASS	0	0.0
SGI75460105	45052	AATBC	1	0.1524510392053764	AATBC	2	0.2786440899936817
SGI75460105	45051	AATF	16	2.4392166272860223	AATF	43	5.990847934864157
