		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460068	45009	ABCC6	0	0.0	ABCC6	0	0.0
SGI75460068	45008	ABCC6P1	0	0.0	ABCC6P1	0	0.0
SGI75460068	45007	ABCC6P2	1	0.0717941626894495	ABCC6P2	0	0.0
SGI75460068	45006	ABCC8	26	1.866648229925688	ABCC8	92	8.14210810684039
SGI75460068	45005	ABCC9	32	2.297413206062385	ABCC9	0	0.0
SGI75460068	45004	ABCD1	2	0.1435883253788991	ABCD1	0	0.0
SGI75460068	45003	ABCD1P1	2	0.1435883253788991	ABCD1P1	1	0.088501175074352
SGI75460068	45002	ABCD1P2	0	0.0	ABCD1P2	0	0.0
SGI75460068	45001	ABCD1P3	0	0.0	ABCD1P3	0	0.0
SGI75460068	45000	ABCD1P4	0	0.0	ABCD1P4	1	0.088501175074352
SGI75460068	44999	ABCD1P5	27	1.9384423926151375	ABCD1P5	27	2.389531727007505
SGI75460068	44998	ABCD2	61	4.379443924056422	ABCD2	67	5.929578729981587
SGI75460068	44997	ABCD3	66	4.738414737503669	ABCD3	21	1.8585246765613928
SGI75460068	44996	ABCD4	6	0.4307649761366972	ABCD4	0	0.0
SGI75460068	44995	ABCE1	187	13.425508422927065	ABCE1	438	38.7635146825662
SGI75460068	44994	ABCF1	32	2.297413206062385	ABCF1	142	12.567166860557991
SGI75460068	44993	ABCF2	13	0.933324114962844	ABCF2	18	1.593021151338337
SGI75460068	44992	ABCF2-H2BK1	12	0.8615299522733945	ABCF2-H2BK1	17	1.5045199762639847
SGI75460068	44991	ABCF2P1	0	0.0	ABCF2P1	0	0.0
SGI75460068	44990	ABCF2P2	0	0.0	ABCF2P2	1	0.088501175074352
SGI75460068	44989	ABCF3	37	2.6563840195096327	ABCF3	14	1.2390164510409285
SGI75460068	44988	ABCG1	14	1.0051182776522936	ABCG1	62	5.487072854609827
SGI75460068	44987	ABCG2	133	9.548623637696789	ABCG2	145	12.832670385781046
SGI75460068	44986	ABCG4	0	0.0	ABCG4	0	0.0
SGI75460068	44985	ABCG5	0	0.0	ABCG5	0	0.0
SGI75460068	44984	ABCG8	32	2.297413206062385	ABCG8	61	5.398571679535476
SGI75460068	44983	ABHD1	0	0.0	ABHD1	0	0.0
SGI75460068	44982	ABHD10	132	9.47682947500734	ABHD10	56	4.956065804163714
SGI75460068	44981	ABHD11	17	1.220500765720642	ABHD11	0	0.0
SGI75460068	44980	ABHD11-AS1	1	0.0717941626894495	ABHD11-AS1	1	0.088501175074352
SGI75460068	44979	ABHD12	0	0.0	ABHD12	0	0.0
SGI75460068	44978	ABHD12B	0	0.0	ABHD12B	0	0.0
SGI75460068	44977	ABHD13	59	4.235855598677523	ABHD13	59	5.221569329386771
SGI75460068	44976	ABHD14A	0	0.0	ABHD14A	0	0.0
SGI75460068	44975	ABHD14A-ACY1	0	0.0	ABHD14A-ACY1	0	0.0
SGI75460068	44974	ABHD14B	50	3.589708134472477	ABHD14B	106	9.381124557881316
SGI75460068	44973	ABHD15	2	0.1435883253788991	ABHD15	0	0.0
SGI75460068	44972	ABHD16A	4	0.2871766507577982	ABHD16A	30	2.6550352522305616
SGI75460068	44971	ABHD16B	0	0.0	ABHD16B	0	0.0
SGI75460068	44970	ABHD17A	137	9.835800288454587	ABHD17A	92	8.14210810684039
SGI75460068	44969	ABHD17AP1	2	0.1435883253788991	ABHD17AP1	0	0.0
SGI75460068	44968	ABHD17AP3	1	0.0717941626894495	ABHD17AP3	0	0.0
SGI75460068	44967	ABHD17AP4	0	0.0	ABHD17AP4	0	0.0
SGI75460068	44966	ABHD17AP5	1	0.0717941626894495	ABHD17AP5	0	0.0
SGI75460068	44965	ABHD17AP6	16	1.1487066030311928	ABHD17AP6	0	0.0
SGI75460068	44964	ABHD17AP7	0	0.0	ABHD17AP7	0	0.0
SGI75460068	44963	ABHD17AP8	0	0.0	ABHD17AP8	0	0.0
SGI75460068	44962	ABHD17AP9	0	0.0	ABHD17AP9	0	0.0
SGI75460068	44961	ABHD17B	50	3.589708134472477	ABHD17B	42	3.7170493531227855
SGI75460068	44960	ABHD17C	52	3.733296459851376	ABHD17C	81	7.168595181022516
SGI75460068	44959	ABHD18	161	11.558860193001376	ABHD18	198	17.523232664721704
SGI75460068	44958	ABHD2	172	12.34859598258532	ABHD2	127	11.23964923444271
SGI75460068	44957	ABHD3	37	2.6563840195096327	ABHD3	37	3.274543477751026
SGI75460068	44956	ABHD4	15	1.0769124403417432	ABHD4	11	0.9735129258178726
