		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460104	45088	A1BG	9	0.3947585711406483	A1BG	19	1.0703338331792334
SGI75460104	45087	A1BG-AS1	11	0.4824826980607923	A1BG-AS1	12	0.6760003156921474
SGI75460104	45086	A1CF	3	0.1315861903802161	A1CF	0	0.0
SGI75460104	45085	A2M	82	3.596689203725907	A2M	93	5.239002446614143
SGI75460104	45084	A2M-AS1	6	0.2631723807604322	A2M-AS1	6	0.3380001578460737
SGI75460104	45083	A2ML1	0	0.0	A2ML1	0	0.0
SGI75460104	45082	A2MP1	1	0.043862063460072	A2MP1	6	0.3380001578460737
SGI75460104	45081	A3GALT2	6	0.2631723807604322	A3GALT2	9	0.5070002367691105
SGI75460104	45080	A4GALT	0	0.0	A4GALT	0	0.0
SGI75460104	45079	A4GNT	0	0.0	A4GNT	0	0.0
SGI75460104	45078	AA06	0	0.0	AA06	0	0.0
SGI75460104	45077	AAAS	10	0.4386206346007203	AAAS	7	0.394333517487086
SGI75460104	45076	AACS	26	1.1404136499618729	AACS	14	0.788667034974172
SGI75460104	45075	AACSP1	1	0.043862063460072	AACSP1	3	0.1690000789230368
SGI75460104	45074	AADAC	0	0.0	AADAC	0	0.0
SGI75460104	45073	AADACL2	2	0.087724126920144	AADACL2	0	0.0
SGI75460104	45072	AADACL2-AS1	3	0.1315861903802161	AADACL2-AS1	84	4.732002209845032
SGI75460104	45071	AADACL3	0	0.0	AADACL3	0	0.0
SGI75460104	45070	AADACL4	0	0.0	AADACL4	0	0.0
SGI75460104	45069	AADACP1	5	0.2193103173003601	AADACP1	1	0.0563333596410122
SGI75460104	45068	AADAT	0	0.0	AADAT	0	0.0
SGI75460104	45067	AAGAB	105	4.605516663307564	AAGAB	75	4.225001973075922
SGI75460104	45066	AAK1	581	25.48385887030185	AAK1	566	31.88468155681296
SGI75460104	45065	AAMDC	9	0.3947585711406483	AAMDC	6	0.3380001578460737
SGI75460104	45064	AAMP	60	2.631723807604322	AAMP	63	3.5490016573837737
SGI75460104	45063	AANAT	3	0.1315861903802161	AANAT	31	1.7463341488713808
SGI75460104	45062	AAR2	42	1.8422066653230251	AAR2	39	2.197001025999479
SGI75460104	45061	AARD	0	0.0	AARD	1	0.0563333596410122
SGI75460104	45060	AARS1	73	3.201930632585259	AARS1	75	4.225001973075922
SGI75460104	45059	AARS1P1	0	0.0	AARS1P1	0	0.0
SGI75460104	45058	AARS2	12	0.5263447615208644	AARS2	8	0.4506668771280983
SGI75460104	45057	AARSD1	2	0.087724126920144	AARSD1	4	0.2253334385640491
SGI75460104	45056	AARSD1P1	0	0.0	AARSD1P1	0	0.0
SGI75460104	45055	AASDH	34	1.4913101576424492	AASDH	33	1.8590008681534052
SGI75460104	45054	AASDHPPT	162	7.105654280531669	AASDHPPT	162	9.12600426184399
SGI75460104	45053	AASS	0	0.0	AASS	0	0.0
SGI75460104	45052	AATBC	8	0.3508965076805763	AATBC	8	0.4506668771280983
