Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	tpm_RFfr	Gene Name_star	tpm_star
protein_coding	A1BG	SGI75460068	0	A1BG	0.1968	A1BG	0.774117
protein_coding	A1CF	SGI75460068	2	A1CF	0.003219	A1CF	0.045117
protein_coding	A2M	SGI75460068	3	A2M	1.152752	A2M	1.680732
protein_coding	A2ML1	SGI75460068	5	A2ML1	0.0	A2ML1	0.0
protein_coding	A3GALT2	SGI75460068	7	A3GALT2	0.009982	A3GALT2	0.001076
protein_coding	A4GALT	SGI75460068	8	A4GALT	0.0	A4GALT	0.0
protein_coding	A4GNT	SGI75460068	9	A4GNT	0.0	A4GNT	0.0
protein_coding	AAAS	SGI75460068	11	AAAS	0.045708	AAAS	0.005147
protein_coding	AACS	SGI75460068	12	AACS	0.014134	AACS	0.0
protein_coding	AADAC	SGI75460068	14	AADAC	0.121967	AADAC	0.0
protein_coding	AADACL2	SGI75460068	15	AADACL2	0.020115	AADACL2	0.0
protein_coding	AADACL3	SGI75460068	17	AADACL3	0.0	AADACL3	0.000683
protein_coding	AADACL4	SGI75460068	18	AADACL4	0.0	AADACL4	0.0
protein_coding	AADAT	SGI75460068	20	AADAT	0.0	AADAT	0.0
protein_coding	AAGAB	SGI75460068	21	AAGAB	0.341402	AAGAB	0.547175
protein_coding	AAK1	SGI75460068	22	AAK1	0.112558	AAK1	0.053236
protein_coding	AAMDC	SGI75460068	23	AAMDC	0.149903	AAMDC	0.0
protein_coding	AAMP	SGI75460068	24	AAMP	0.066718	AAMP	0.074575
protein_coding	AANAT	SGI75460068	25	AANAT	0.0	AANAT	0.048299
protein_coding	AAR2	SGI75460068	26	AAR2	0.566207	AAR2	0.88756
protein_coding	AARD	SGI75460068	27	AARD	0.0	AARD	0.001523
protein_coding	AARS1	SGI75460068	28	AARS1	0.111754	AARS1	0.124766
protein_coding	AARS2	SGI75460068	30	AARS2	0.018983	AARS2	0.01145
protein_coding	AARSD1	SGI75460068	31	AARSD1	0.006173	AARSD1	0.006421
protein_coding	AASDH	SGI75460068	33	AASDH	0.014997	AASDH	0.0
protein_coding	AASDHPPT	SGI75460068	34	AASDHPPT	0.135123	AASDHPPT	0.209274
protein_coding	AASS	SGI75460068	35	AASS	0.0	AASS	0.0
protein_coding	AATF	SGI75460068	37	AATF	0.006257	AATF	1.680808
protein_coding	AATK	SGI75460068	38	AATK	0.003038	AATK	0.138948
protein_coding	ABAT	SGI75460068	40	ABAT	0.129204	ABAT	0.20047
protein_coding	ABCA1	SGI75460068	41	ABCA1	0.001143	ABCA1	0.007481
protein_coding	ABCA10	SGI75460068	42	ABCA10	0.003061	ABCA10	0.00537
protein_coding	ABCA12	SGI75460068	44	ABCA12	0.007765	ABCA12	0.0
protein_coding	ABCA13	SGI75460068	45	ABCA13	0.033198	ABCA13	0.011348
protein_coding	ABCA2	SGI75460068	47	ABCA2	0.0	ABCA2	0.0
protein_coding	ABCA3	SGI75460068	48	ABCA3	0.002049	ABCA3	0.01976
protein_coding	ABCA4	SGI75460068	50	ABCA4	0.0	ABCA4	0.0
protein_coding	ABCA5	SGI75460068	51	ABCA5	0.028985	ABCA5	0.060496
protein_coding	ABCA6	SGI75460068	52	ABCA6	0.107517	ABCA6	0.207527
